"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0,"GAUSS5",0.7,"power"
2,0,"GAUSS5",0.4,"power"
3,0,"GAUSS5",0.6,"power"
4,0,"GAUSS5",0.6,"power"
