"noise_sigma","method","scenario","power_mean","power_se","n_rep"
0,"GAUSS5","power",0.993,0.00213437474581095,10
0.2,"GAUSS5","power",0.99,0.00394405318873308,10
0.4,"GAUSS5","power",0.978,0.00359010987142301,10
0.6,"GAUSS5","power",0.96,0.00666666666666667,10
0.8,"GAUSS5","power",0.957,0.00366666666666667,10
1,"GAUSS5","power",0.917,0.0101159939369957,10
