epoch,train_loss,train_acc,val_loss,val_acc,lr,device
1,1.5529177747221437,0.43260811591626297,1.1967409685200474,0.5583766493402639,0.001,cuda
2,1.0782321622527553,0.5962153873505489,1.0009336151727817,0.6376449420231908,0.001,cuda
3,0.9503046596038076,0.6478954620205343,0.9272853428961896,0.6487405037984806,0.001,cuda
4,0.8783596961322034,0.6734965998488822,0.8756691349930212,0.6703318672530988,0.001,cuda
5,0.833838875370347,0.6893528601271167,0.8048230367915624,0.703718512594962,0.001,cuda
6,0.7921532562130944,0.7088870616471843,0.7626801707991502,0.7241103558576569,0.001,cuda
7,0.7417921157639643,0.7319769767545224,0.7292754012839597,0.7342063174730108,0.001,cuda
8,0.7099766557871212,0.7449775545579803,0.7862634510814739,0.7084166333466614,0.001,cuda
9,0.6640944994313488,0.7652673452153429,0.6495017015614637,0.7676929228308677,0.0005,cuda
10,0.6536717968144106,0.7691675185563803,0.6451479269952023,0.7721911235505797,0.0005,cuda
11,0.643841732064376,0.7715231788079471,0.6271641554950667,0.7782886845261895,0.0005,cuda
12,0.6318423802060305,0.776412284990444,0.6683954946854648,0.7511995201919233,0.0005,cuda
13,0.6242264838524726,0.7778901284501534,0.6148719243744,0.7824870051979208,0.0005,cuda
14,0.6161615611092293,0.7816680741366283,0.6414393200153639,0.7679928028788484,0.0005,cuda
15,0.6092147508262661,0.7840792924129961,0.5963049673500275,0.7881847261095561,0.0005,cuda
16,0.5980043387915316,0.787901684519312,0.6399787456118932,0.7689924030387845,0.0005,cuda
17,0.5851313303966481,0.7930019111960531,0.5883989478053688,0.7922830867652939,0.00025,cuda
18,0.5781898371823295,0.7953686830525801,0.5797344829763521,0.7902838864454218,0.00025,cuda
19,0.5788622683506817,0.7945797591004045,0.5744611160819981,0.7953818472610955,0.00025,cuda
20,0.5759756909690383,0.7961131605849149,0.5751455298355702,0.7969812075169932,0.00025,cuda
21,0.5698129636610109,0.7979799102182319,0.5720392004793428,0.7994802079168333,0.00025,cuda
22,0.566518529038243,0.7999244410862705,0.5738876206738527,0.7975809676129548,0.00025,cuda
23,0.5630154731411516,0.8006355838037246,0.5958091931455567,0.7868852459016393,0.00025,cuda
24,0.5666325183077714,0.7986132717009645,0.5555611685341427,0.8014794082367053,0.00025,cuda
25,0.5499405474645613,0.8060024889995111,0.5541057539243596,0.8017792882846861,0.000125,cuda
26,0.5496454680237253,0.8052802346770968,0.5469615563589398,0.8054778088764494,0.000125,cuda
27,0.5497673212689789,0.8054135739366194,0.5468640653718142,0.8049780087964814,0.000125,cuda
28,0.5470305754969483,0.8058247033201476,0.5488902654994826,0.8044782087165134,0.000125,cuda
29,0.5440637439196626,0.8066691852971243,0.5434250558962206,0.804078368652539,0.000125,cuda
30,0.5439204966045972,0.807158095915374,0.558846472037501,0.7971811275489804,0.000125,cuda
31,0.638150496005249,0.7845015334014845,0.5639632543245824,0.7943822471011596,0.001,cuda
32,0.5719006856450336,0.7950575581136939,0.6103412976316431,0.7777888844462215,0.001,cuda
33,0.5755997437178556,0.7935463798391039,0.5783774973582573,0.7933826469412235,0.001,cuda
