"noise_levels","","","","","","","","","",""
0,0.03,0.028,0.044,0.048,0.058,0.036,0.046,0.04,0.042,0.038
0.2,0.046,0.06,0.038,0.038,0.054,0.044,0.038,0.04,0.046,0.052
0.4,0.032,0.046,0.044,0.026,0.028,0.05,0.03,0.04,0.034,0.03
0.6,0.03,0.018,0.02,0.044,0.016,0.03,0.04,0.05,0.01,0.032
0.8,0.03,0.022,0.022,0.03,0.018,0.03,0.034,0.01,0.034,0.022
1,0.016,0.02,0.022,0.016,0.026,0.028,0.018,0.016,0.022,0.018
