"noise_levels","","","","","","","","","",""
0,0.038,0.03,0.042,0.042,0.056,0.042,0.046,0.042,0.044,0.038
0.2,0.044,0.058,0.036,0.038,0.048,0.046,0.04,0.036,0.046,0.056
0.4,0.028,0.052,0.04,0.032,0.022,0.044,0.03,0.038,0.036,0.03
0.6,0.028,0.022,0.026,0.042,0.012,0.028,0.04,0.05,0.008,0.032
0.8,0.032,0.024,0.024,0.028,0.018,0.024,0.044,0.016,0.032,0.018
1,0.018,0.018,0.022,0.024,0.028,0.024,0.016,0.014,0.016,0.018
