label,label_name,setting,n,method,rejection_rate,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,median_cond_sigma_hat,median_cond_sigma_reg,median_lambda,n_tests_per_cell_actual,B_boot_actual,alpha
6,normal colon mucosa,H0_external,20,cnn_final_fc128_gaussian5,0.0986,0.004216112901714089,0.09033641871264038,0.10686358128735961,6.908179497293985,13.38108075823908,241536.9386682501,38407.19499621804,3.5849947026513445e-05,5000,500,0.05
6,normal colon mucosa,H0_external,20,cnn_multilayer_gaussian15,0.142,0.004936314414621499,0.13232482374734184,0.15167517625265814,23.807724238379265,35.1639407388049,2237144.5757542187,122409.14630125745,4.511299878684247e-05,5000,500,0.05
6,normal colon mucosa,H0_external,20,cnn_multilayer_single_gaussian,0.063,0.0034360151338432726,0.05626541033766719,0.06973458966233281,3.3954863696335975,10.731000963413512,89.15387230237738,88.87566597033805,5.427634042477162e-05,5000,500,0.05
6,normal colon mucosa,H0_external,20,raw_pixel_gaussian5,0.0622,0.003415586626042443,0.05550545021295681,0.06889454978704318,3.2730456043275247,9.91039908793237,781157398.3656045,48849.91624863441,1.878396223812589e-05,5000,500,0.05
6,normal colon mucosa,H0_external,30,cnn_final_fc128_gaussian5,0.07,0.003608323710533743,0.06292768552735387,0.07707231447264615,4.900113104182723,13.335285137686157,143916.51035583467,34472.75650755551,3.160453118135441e-05,5000,500,0.05
6,normal colon mucosa,H0_external,30,cnn_multilayer_gaussian15,0.0978,0.0042008370594442245,0.08956635936348932,0.10603364063651068,17.25269165239884,34.70603124504633,1247417.782684011,116274.11291891173,4.1470390622771015e-05,5000,500,0.05
6,normal colon mucosa,H0_external,30,cnn_multilayer_single_gaussian,0.0594,0.0033428024171344617,0.052848107262416455,0.06595189273758355,3.295934230306051,10.560733679376419,80.15604553797752,79.93470993430228,5.1364289624694864e-05,5000,500,0.05
6,normal colon mucosa,H0_external,30,raw_pixel_gaussian5,0.0512,0.0031170036894427955,0.04509067276869212,0.05730932723130788,2.8556126634378947,9.858728367575951,274600090.712826,48341.48259472393,1.3128872182349343e-05,5000,500,0.05
6,normal colon mucosa,H0_external,50,cnn_final_fc128_gaussian5,0.0566,0.003267917991627085,0.05019488073641091,0.06300511926358908,4.300068905660899,13.244791161636932,97594.02656918147,30864.824858836848,2.7925805276487417e-05,5000,500,0.05
6,normal colon mucosa,H0_external,50,cnn_multilayer_gaussian15,0.0738,0.003697392594788928,0.06655311051421371,0.0810468894857863,14.894689809970252,34.036938596007126,802150.0577940457,110044.78629259308,3.814477554193107e-05,5000,500,0.05
