"noise_sigma","method","scenario","type1_mean","type1_se","n_rep"
0,"GAUSS5","type1",0.046,0.00618241233033047,10
0.2,"GAUSS5","type1",0.049,0.00458257569495584,10
0.4,"GAUSS5","type1",0.044,0.00498887651569859,10
0.6,"GAUSS5","type1",0.071,0.00862167810425171,10
0.8,"GAUSS5","type1",0.069,0.00887568463712957,10
1,"GAUSS5","type1",0.063,0.0105461946797042,10
