label,label_name,setting,n,method,rejection_rate,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,median_cond_sigma_hat,median_cond_sigma_reg,median_lambda,n_tests_per_cell_actual,B_boot_actual,alpha
6,normal colon mucosa,H1_source_vs_external,20,cnn_final_fc128_gaussian5,0.2352,0.0059980156718701565,0.2234438892831345,0.2469561107168655,10.723283024229248,13.844128970894348,112379.79747469939,32389.194115470567,4.030727184711225e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,20,cnn_multilayer_gaussian15,0.6778,0.006608890375849792,0.6648465748633343,0.6907534251366656,78.20737433535287,35.56205018122856,1316605.7493343542,118672.02221609783,4.973606619461431e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,20,cnn_multilayer_single_gaussian,0.639,0.006792333914053402,0.6256870255284553,0.6523129744715447,24.334220280431555,10.785271408146215,98.86561996314417,98.52778705216859,6.0553806233889506e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,20,raw_pixel_gaussian5,0.3048,0.006509945621892705,0.2920405065810903,0.3175594934189097,12.39649896571281,10.542250175851091,269359030.43106055,48070.284300275656,1.86756547858102e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,30,cnn_final_fc128_gaussian5,0.3942,0.006910953045709397,0.38065453203040955,0.40774546796959044,15.312071950237016,13.763808171029796,78304.2591085313,28665.774281971127,3.612962207276092e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,30,cnn_multilayer_gaussian15,0.8526,0.0050134467185759535,0.8427736444315912,0.8624263555684089,116.72759027978391,35.095595754567675,789559.274647862,111141.87123862347,4.614146329332414e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,30,cnn_multilayer_single_gaussian,0.865,0.004832701108076104,0.8555279058281708,0.8744720941718291,45.39317359478483,10.66727998765328,89.70382547219182,89.42674746993504,5.764246494390007e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,30,raw_pixel_gaussian5,0.48,0.007065408693062277,0.4661517989615979,0.49384820103840205,17.61338196427443,10.693866531225149,83853555.09582265,47314.14465949324,1.3471663057461862e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,50,cnn_final_fc128_gaussian5,0.7634,0.006010331771208641,0.751619749728431,0.7751802502715689,31.32239922092778,13.63737844177199,60618.52856786685,25870.932490833482,3.260441874867413e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,50,cnn_multilayer_gaussian15,0.989,0.0014750593208410305,0.9861088837311516,0.9918911162688484,241.1427061380922,34.48399929242272,545653.4748520546,104195.87343117493,4.315847495135175e-05,5000,500,0.05
6,normal colon mucosa,H1_source_vs_external,50,cnn_multilayer_single_gaussian,0.9912,0.0013207997577225725,0.9886112324748637,0.9937887675251362,111.27710180590564,10.560480268798683,82.53271642176719,82.29595855125761,5.511122933545473e-05,5000,500,0.05
