"noise_sigma","method","scenario","type1_mean","type1_se","n_rep"
0,"GAUSS5","type1",0.05,0.00614636297152859,10
0.2,"GAUSS5","type1",0.038,0.00466666666666667,10
0.4,"GAUSS5","type1",0.024,0.00371184290855335,10
0.6,"GAUSS5","type1",0.025,0.00477260702109212,10
0.8,"GAUSS5","type1",0.035,0.00428174419288838,10
1,"GAUSS5","type1",0.028,0.00290593262902712,10
