"noise_levels","","","","","","","","","",""
0,0.04,0.026,0.032,0.03,0.054,0.03,0.042,0.044,0.048,0.038
0.2,0.03,0.036,0.034,0.012,0.036,0.012,0.026,0.026,0.028,0.042
0.4,0.004,0.014,0.004,0,0.004,0.002,0.002,0.004,0.002,0.004
0.6,0,0,0,0,0,0,0,0.002,0,0
0.8,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
