epoch,train_loss,train_acc,val_loss,val_acc,lr,device
1,1.3757169431166216,0.5108545454545455,0.8718128143310547,0.7248,0.001,cuda
2,0.6464801454587417,0.7986909090909091,0.46260308133363726,0.8634,0.001,cuda
3,0.39896268887519837,0.8804545454545455,0.30845669486522675,0.909,0.001,cuda
4,0.28543864754763515,0.9162,0.28206505793333053,0.9162,0.001,cuda
5,0.2314372237855738,0.9304545454545454,0.19806728318035602,0.9388,0.001,cuda
6,0.2001232720678503,0.9399636363636363,0.1997200627103448,0.9364,0.001,cuda
7,0.17076601881547407,0.9482181818181818,0.1613826596915722,0.9494,0.0005,cuda
8,0.16196151320284063,0.951709090909091,0.14639678639918566,0.9546,0.0005,cuda
9,0.15135532945286143,0.9545636363636364,0.15067101330906152,0.9556,0.0005,cuda
10,0.14565653910420157,0.955709090909091,0.12718512863591314,0.96,0.0005,cuda
11,0.13745442785999992,0.9585090909090909,0.13504492091163992,0.9594,0.0005,cuda
12,0.13354407860149037,0.9587818181818182,0.11567769907563925,0.9628,0.0005,cuda
13,0.1222488745841113,0.9628363636363636,0.12223459740281105,0.9636,0.00025,cuda
14,0.11860238924459977,0.9644727272727273,0.11099350548386573,0.9646,0.00025,cuda
15,0.11596413877010346,0.9648,0.11137613252773881,0.9646,0.00025,cuda
16,0.1136995503208854,0.9653454545454545,0.11358360641859472,0.9644,0.00025,cuda
17,0.11098245818506587,0.9660181818181818,0.10687616505138577,0.9678,0.00025,cuda
18,0.10844070356542414,0.9670545454545455,0.10853049725368619,0.9648,0.00025,cuda
19,0.10311267126852816,0.9685454545454546,0.10115282881259918,0.9698,0.000125,cuda
20,0.1012845695105466,0.9695636363636364,0.10157729084193706,0.9692,0.000125,cuda
21,0.1012141662684354,0.9690181818181818,0.09880244909152389,0.9688,0.0001,cuda
22,0.10044678812243722,0.9694363636363637,0.09812655651047826,0.9686,0.0001,cuda
23,0.09925579771562056,0.9694909090909091,0.09797179607339203,0.9696,0.0001,cuda
24,0.09806430787389929,0.9703272727272727,0.09954199071563781,0.9686,0.0001,cuda
25,0.09742017964395609,0.9704363636363637,0.09426133768558502,0.9702,0.0001,cuda
26,0.09691678546775472,0.9699454545454546,0.09436044723913073,0.971,0.0001,cuda
27,0.09439397899020802,0.9711636363636363,0.0918920975662768,0.9718,5e-05,cuda
28,0.09395804424990307,0.9715454545454546,0.09274864436835051,0.9706,5e-05,cuda
29,0.09331947272907604,0.9716363636363636,0.09305625430867076,0.9718,5e-05,cuda
30,0.0928375129287893,0.9720727272727273,0.09283414952531457,0.9702,5e-05,cuda
