"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0.882,0.898,0.894,0.872,0.88,0.874,0.9,0.89,0.892,0.898
0.2,0.858,0.872,0.84,0.83,0.878,0.856,0.834,0.85,0.864,0.836
0.4,0.46,0.504,0.494,0.522,0.488,0.52,0.5,0.516,0.52,0.536
0.6,0.046,0.048,0.036,0.034,0.022,0.04,0.046,0.05,0.042,0.044
0.8,0,0,0,0,0,0,0,0,0.004,0
1,0,0,0,0,0,0,0,0,0,0
