"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0.86,0.914,0.908,0.87,0.864,0.874,0.912,0.888,0.888,0.894
0.2,0.886,0.892,0.888,0.888,0.896,0.884,0.876,0.884,0.906,0.864
0.4,0.796,0.816,0.81,0.83,0.81,0.81,0.796,0.846,0.858,0.836
0.6,0.628,0.642,0.62,0.64,0.59,0.632,0.646,0.63,0.646,0.588
0.8,0.362,0.346,0.334,0.352,0.382,0.322,0.326,0.3,0.316,0.356
1,0.17,0.178,0.144,0.16,0.166,0.142,0.164,0.174,0.17,0.184
