"n","method","power","q_mean","t_kern","t_cov","t_sel","t_boot","t_stat","t_total","rep"
50,"GEXP_5",0.225,5,0.00225999116897583,0.0295889055728912,0,0.0214895498752594,0.0370835185050964,0.0904219651222229,1
50,"GEXP_rich_13",0.345,13,0.00398413300514221,0.0679804813861847,0,0.0450420093536377,0.0987538540363312,0.215760477781296,1
50,"NEW_13",0.165,4.12,0.000867259502410889,0.00632415890693665,0.00451035857200623,0.0177597463130951,0.0273168992996216,0.0567784225940704,1
50,"NEW_25",0.16,4.005,0.000872551202774048,0.00282721042633057,0.00140448808670044,0.0157460832595825,0.0255455577373505,0.046395890712738,1
100,"GEXP_5",0.33,5,0.00394598722457886,0.0257675004005432,0,0.0368541669845581,0.0560384035110474,0.122606058120728,1
100,"GEXP_rich_13",0.31,13,0.00545067548751831,0.0987964701652527,0,0.0790649747848511,0.142576372623444,0.325888493061066,1
100,"NEW_13",0.27,4.465,0.00219423055648804,0.00563234329223633,0.00175723314285278,0.029303605556488,0.0463994145393372,0.0852868270874023,1
100,"NEW_25",0.22,4.02,0.00229600071907043,0.010616112947464,0.0016879940032959,0.0289462161064148,0.0412581205368042,0.0848044443130493,1
200,"GEXP_5",0.535,5,0.0138944935798645,0.0678739535808563,0,0.116919813156128,0.112147469520569,0.310835729837418,1
200,"GEXP_rich_13",0.535,13,0.0134216868877411,0.269281542301178,0,0.223856161832809,0.309260115623474,0.815819506645203,1
200,"NEW_13",0.555,4.65,0.0106166160106659,0.0244686877727509,0.00224996447563171,0.0976370084285736,0.0988329362869263,0.233805212974548,1
200,"NEW_25",0.465,4.005,0.0096110463142395,0.0580670511722565,0.00276816964149475,0.0973241114616394,0.0918159139156342,0.259586292505264,1
300,"GEXP_5",0.76,5,0.0291943514347076,0.165713050365448,0,0.252397612333298,0.222601573467255,0.669906587600708,1
300,"GEXP_rich_13",0.78,13,0.0308523547649384,0.797564222812653,0,0.506564736366272,0.545178421735764,1.88015973567963,1
