outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
1,1,power,GEXP-5,0,5,8471617.541972779,1259088.8503253825,4.4704350574516894e-07,1.8042137002084644,12.116367720378287
1,1,power,NEW-MMMD,0,4,25395.816054515093,24178.546863883093,1.2629460557427491e-06,1.849612255165713,9.304534681854024
1,2,power,GEXP-5,1,5,22635584.857767466,1365440.4606245838,5.907314599070806e-07,49.122078052486685,16.52274701591257
1,2,power,NEW-MMMD,1,4,39156.50141273855,36223.98923544209,1.6799718321186751e-06,47.20717483386895,6.427013950056156
1,3,power,GEXP-5,0,5,36035206.87280828,1586573.8627155633,4.012946531331757e-07,2.6550870670139304,15.983043939931393
1,3,power,NEW-MMMD,0,4,42951.56431597897,39843.282577215025,1.1873280191943853e-06,2.563146195327948,11.8251274523863
1,4,power,GEXP-5,0,5,3180545.5154788415,1029782.2558655275,4.3657694223182284e-07,7.985448827046,12.983346099615332
1,4,power,NEW-MMMD,0,4,19144.542615338007,18466.78128421901,1.2379983629440077e-06,8.02156521791444,17.504857606457
1,5,power,GEXP-5,1,5,868735.0185630688,536221.1794480537,4.449643427690117e-07,38.60998061058092,12.316218791111925
1,5,power,NEW-MMMD,1,4,13877.77766725591,13507.378556681515,1.1939167804569681e-06,36.8048654429991,5.609507874245902
1,6,power,GEXP-5,0,5,3889227.2053359463,1128206.547898946,4.2972049039474826e-07,6.467043816946557,8.307427387598855
1,6,power,NEW-MMMD,0,4,34371.518281726334,32330.450158442985,1.2350139050583493e-06,6.247367220781726,7.428853836625848
1,7,power,GEXP-5,0,5,1685065.3654026187,749838.736451423,5.051576801525773e-07,6.065931141135536,16.898392196416967
1,7,power,NEW-MMMD,0,4,15629.3028918699,15130.42214166532,1.3680034577445136e-06,5.659756331188774,14.82842284338499
1,8,power,GEXP-5,0,5,8076602.310128081,1150565.2734125997,5.756236654206327e-07,7.41689227948192,14.453929674892773
1,8,power,NEW-MMMD,0,4,25584.77293234077,24237.499963239625,1.5755005389647727e-06,7.135964274113675,14.042188706555526
1,1,type1_a,GEXP-5,0,5,7807508.168418921,1313770.3655110968,4.1533700805648144e-07,3.6893301884298637,8.643796550920007
