scenario,method,reject_rate,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median
power,GEXP-5,0.25,5.0,6964248.024148737,1200838.6812746723,5.084818274896128e-07
power,NEW-MMMD,0.25,4.0,25964.1461223578,24679.202739790842,1.4316339771749958e-06
type1_a,GEXP-5,0.0,5.0,7263084.823762987,1313876.5577221077,4.6803200046692505e-07
type1_a,NEW-MMMD,0.0,4.0,28702.311593302642,27184.28909690101,1.3278374366433203e-06
type1_b,GEXP-5,0.0,5.0,2662245.8826915417,922408.0325010992,4.812733220749124e-07
type1_b,NEW-MMMD,0.0,4.0,19946.487194487418,19175.780196277672,1.3125407516530157e-06
