"noise_sigma","method","scenario","power_mean","power_se","n_rep"
0,"GAUSS5","power",0.922,0.00986576572463249,10
0.2,"GAUSS5","power",0.882,0.0115277443105271,10
0.4,"GAUSS5","power",0.942,0.00679869268479037,10
0.6,"GAUSS5","power",0.976,0.0030550504633039,10
0.8,"GAUSS5","power",0.83,0.0161245154965971,10
1,"GAUSS5","power",0.429,0.0166299595776886,10
