scenario,hypothesis,method,n,power,median_q,median_cond_Sigma,median_cond_Sigma_plus_lamI,median_lambda,runtime_sec
mix635_vs_mix835,H1,GEXP-5,60,0.202,5.0,591927.0157186023,42175.20676566432,9.13234642659288e-06,20.883189916610718
mix635_vs_mix835,H1,NEW-MMMD,60,0.232,13.0,50283640457.68686,123330.50248600377,1.1463806393612196e-05,8.404350280761719
mix635_vs_mix835,H1,GEXP-5,120,0.32,5.0,260306.68881236122,37750.07893960587,6.044743007661155e-06,35.0595920085907
mix635_vs_mix835,H1,NEW-MMMD,120,0.36,13.0,30099439100.696125,120541.61595455921,7.21613111940667e-06,64.09991526603699
mix635_vs_mix635_null,H0,GEXP-5,60,0.06,5.0,1041784.1344122079,43559.41381048396,8.987367715529504e-06,23.102522134780884
mix635_vs_mix635_null,H0,NEW-MMMD,60,0.062,13.0,50402040334.633385,123370.70780912013,1.1322110393016628e-05,23.985913515090942
mix635_vs_mix635_null,H0,GEXP-5,120,0.068,5.0,302921.44584586343,38761.03993361355,5.944081831224493e-06,63.05084490776062
mix635_vs_mix635_null,H0,NEW-MMMD,120,0.052,13.0,27599769575.743744,120827.38633347032,7.2237999042906965e-06,51.509942054748535
