result_kind,experiment,scenario,setting,label,label_name,n,representation,projection_id,summary_scope,projection_repeats,outer_repetitions,inner_repetitions,tests_per_projection,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,residual_random8,r15,per_projection,1,10,20,200,200,0.125,0.125,,0.023385358667337135,0.07916469701201923,0.17083530298798077,7.760724490093394,14.571785869286737,28380.10101582636,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,residual_random8,r16,per_projection,1,10,20,200,200,0.565,0.565,,0.03505531343462785,0.49629158566812936,0.6337084143318705,35.42283161571294,13.869892425975172,30990.68112682378,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,residual_random8,r17,per_projection,1,10,20,200,200,0.175,0.175,,0.026867731575255845,0.12233924611249852,0.22766075388750145,8.145297541847622,14.118420900510294,29939.160239064935,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,residual_random8,r18,per_projection,1,10,20,200,200,0.3,0.3,,0.0324037034920393,0.23648874115560298,0.363511258844397,14.334054342920727,14.007727550340647,31168.64051366268,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,residual_random8,r19,per_projection,1,10,20,200,200,0.15,0.15,,0.025248762345905194,0.10051242580202582,0.19948757419797417,8.425263704304024,15.050484256999297,21206.213784906213,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,20,final_full,none,single,1,10,20,200,200,0.22,0.22,,0.02929163703175362,0.1625883914177629,0.2774116085822371,10.660653207038356,13.985725710562992,31387.263792077516,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,centered_logits,none,single,1,10,20,200,200,0.48,0.48,,0.03532704346531139,0.41075899480798966,0.5492410051920102,17.453312032247332,12.961878623112584,34537.5671994921,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,semantic_centered,none,single,1,10,20,200,200,0.495,0.495,,0.03535357124817803,0.42570700035357106,0.564292999646429,15.293764211519274,12.143204256270483,39770.46052811544,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_full,none,single,1,10,20,200,200,0.335,0.335,,0.0333747659167821,0.2695854588031071,0.40041454119689296,13.826617943015627,14.2217032785939,26659.670049363634,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_top8_pca,none,single,1,10,20,200,200,0.305,0.305,,0.03255572146336186,0.24119078593181076,0.36880921406818923,12.951416600566434,14.14043885837565,24752.25345380648,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,aggregate20,aggregate,20,10,20,200,4000,0.34625,0.34625,,0.007522648095916757,0.33150560973200316,0.36099439026799685,15.250760591928893,14.243272919494252,24250.93238338087,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r00,per_projection,1,10,20,200,200,0.215,0.215,,0.029049526674285075,0.15806292771840125,0.27193707228159875,9.034445604154051,14.22336112678498,25428.26813450477,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r01,per_projection,1,10,20,200,200,0.17,0.17,,0.02656124997058685,0.11793995005764979,0.22206004994235023,8.214356292783954,14.262070443980086,24742.184383930256,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r02,per_projection,1,10,20,200,200,0.33,0.33,,0.0332490601370926,0.2648318421312985,0.3951681578687015,15.395833047733275,14.563688663894196,20362.34581396378,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r03,per_projection,1,10,20,200,200,0.35,0.35,,0.033726843908080104,0.28389538594016295,0.416104614059837,14.33655730276957,14.13434448993884,23241.86170376556,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r04,per_projection,1,10,20,200,200,0.38,0.38,,0.03432200460346103,0.3127288709772164,0.4472711290227836,13.557155580980911,13.89430796460405,27390.058533037933,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r05,per_projection,1,10,20,200,200,0.325,0.325,,0.03311910324872942,0.26008655763249033,0.3899134423675097,13.224075325784822,13.430289340566631,31250.296798033334,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r06,per_projection,1,10,20,200,200,0.21,0.21,,0.028801041647829335,0.15354995837025448,0.2664500416297455,9.601698099209017,14.869361516205835,19453.982842583024,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r07,per_projection,1,10,20,200,200,0.16,0.16,,0.02592296279363144,0.10919099292448238,0.21080900707551764,8.10462924513943,14.795706458123595,19793.991595251322,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r08,per_projection,1,10,20,200,200,0.265,0.265,,0.031206970375222264,0.20383433806456439,0.32616566193543567,11.239589333949418,14.50539282843577,22289.1429970256,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r09,per_projection,1,10,20,200,200,0.3,0.3,,0.0324037034920393,0.23648874115560298,0.363511258844397,13.544680232863298,14.251556767195376,22496.334471620572,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r10,per_projection,1,10,20,200,200,0.615,0.615,,0.034407484650872115,0.5475613300842906,0.6824386699157093,24.675307802962198,14.542494355511286,21510.740553833693,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,30,residual_random8,r11,per_projection,1,10,20,200,200,0.265,0.265,,0.031206970375222264,0.20383433806456439,0.32616566193543567,11.724866249964839,14.21090331284879,24734.28429630068,500,0.05
