outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
1,1,power,GEXP-5,0,5,7374502.9858992,1261887.15052258,4.054577891482141e-07,4.212683113579089,11.421251471595475
1,1,power,NEW-MMMD,0,4,25484.720747452157,24298.12368665872,1.1512497493554394e-06,4.226647581124992,11.39936704671545
1,2,power,GEXP-5,0,5,19103263.761475652,1541100.8211773925,4.3516138530787046e-07,4.779416484730689,13.02480806985059
1,2,power,NEW-MMMD,0,4,43048.74418810064,39927.79968592557,1.2947663325277165e-06,4.835574388175928,6.8665358301361765
1,3,power,GEXP-5,0,5,54240366.20526644,1701093.4572065938,3.4435405817596933e-07,2.0414798453437926,16.363323121634647
1,3,power,NEW-MMMD,0,3,570.177099360434,569.385295185164,1.0427131847940321e-06,0.9632344795879352,5.907856546142103
1,4,power,GEXP-5,0,5,18726324.200237084,1520543.692692354,3.699127669374324e-07,7.134743249548656,8.916741156685275
1,4,power,NEW-MMMD,0,4,55893.02529459668,50837.011508566626,1.0844504685264384e-06,6.667691353651051,10.118431014311255
1,5,power,GEXP-5,0,5,16814196.21908486,1416953.3886539205,3.7899555062950027e-07,10.171500471682789,17.18148367464423
1,5,power,NEW-MMMD,1,4,31692.906625683165,29905.91498201907,1.0820400708394876e-06,10.172884701159468,6.470642774900954
1,6,power,GEXP-5,0,5,23280378.210364014,1535143.5057630732,3.62722483414755e-07,0.31487675686726746,8.917304404258031
1,6,power,NEW-MMMD,0,3,458.8372201600852,458.3031238101444,1.0664254578668787e-06,0.06369950649269111,4.682791949885254
1,7,power,GEXP-5,0,5,1504391.3802034254,743789.5437488985,4.0496417908540926e-07,2.369256744093292,20.595463204506938
1,7,power,NEW-MMMD,0,4,16498.930229150385,15986.806672171206,1.1238278548774514e-06,1.7606738150468342,9.2521524231273
1,8,power,GEXP-5,0,5,43928641.74897179,1611413.349398304,4.2504262766676385e-07,3.2749849278446845,10.829936351671927
1,8,power,NEW-MMMD,0,3,485.96191682976865,485.3706730033366,1.2536185153602676e-06,2.781745617529366,10.138168024238237
1,1,type1_a,GEXP-5,0,5,44038853.324066795,1604127.4369318846,3.784690492209801e-07,2.9215482307802105,7.8450411521751
1,1,type1_a,NEW-MMMD,0,3,480.2668362276836,479.6847389118362,1.119253692909337e-06,2.8952055470769604,17.794377326441598
1,2,type1_a,GEXP-5,0,5,3371542.1036741897,1102833.3357074638,3.9650765638903415e-07,2.826976573448526,11.398328980450101
1,2,type1_a,NEW-MMMD,0,4,36117.99472825079,33954.436873424,1.1434171416474025e-06,2.812394580994386,6.650501761784318
1,3,type1_a,GEXP-5,0,5,71339543.55411915,1734286.0962061,4.0318991267599105e-07,2.8555027743871246,11.248529475966055
1,3,type1_a,NEW-MMMD,0,3,608.225543621326,607.3332626888001,1.221588427342249e-06,1.871886476882839,15.053200810460277
1,4,type1_a,GEXP-5,0,5,16460445.166325018,1447526.866920954,4.040593870535525e-07,0.8638855854159484,14.434546751004223
1,4,type1_a,NEW-MMMD,0,4,30353.07193135284,28726.063703279848,1.1695461813279204e-06,0.7636295491209082,12.065736490306145
1,5,type1_a,GEXP-5,0,5,52699294.516382776,1695123.2917754378,4.35788643469096e-07,0.6904544285632639,15.817831515550566
1,5,type1_a,NEW-MMMD,0,3,608.7073137097585,607.7965411179889,1.319615394129384e-06,0.5667425627970557,13.403165556263119
1,6,type1_a,GEXP-5,0,5,36918398.68975163,1672027.098575191,3.5452782180049523e-07,0.5897736676396548,7.723291714084219
1,6,type1_a,NEW-MMMD,0,3,478.9093705275918,478.3557821375282,1.06360717019131e-06,0.16192621282822073,3.996724343993988
1,7,type1_a,GEXP-5,0,5,30108088.57446741,1538383.8851159893,4.3347142496700474e-07,2.8395837077646036,10.02807313920411
1,7,type1_a,NEW-MMMD,0,4,41506.2136219435,38548.34540230535,1.2685400411249552e-06,2.3438513578512357,15.935661941123868
1,8,type1_a,GEXP-5,0,5,1730392.526369804,847932.022185764,3.789737230431483e-07,2.621805270761797,14.709901732693684
1,8,type1_a,NEW-MMMD,0,4,17970.17274665413,17717.10407163148,3.789737231333978e-07,1.8842767590526033,12.471341034693726
1,1,type1_b,GEXP-5,0,5,20273177.365735907,1495162.579305616,3.7560582672293496e-07,2.2767666169866985,9.686481543231684
1,1,type1_b,NEW-MMMD,0,4,34260.347905368944,32236.11045157171,1.0913778279875057e-06,2.2750967244695044,16.594002988764
1,2,type1_b,GEXP-5,0,5,14201973.984439887,1446591.9015322542,3.9335024594134943e-07,1.9706183544288312,9.439328819895769
1,2,type1_b,NEW-MMMD,0,4,37942.914951769635,35470.15260988566,1.1426243610964523e-06,1.936019913842952,10.04231779325026
1,3,type1_b,GEXP-5,0,5,18470183.338202406,1488359.9685166758,4.2632643978137924e-07,1.802557127200231,16.20047951064299
1,3,type1_b,NEW-MMMD,0,4,37450.410616741996,35014.60884743788,1.24896380558918e-06,1.8020452528974709,26.92148587906343
1,4,type1_b,GEXP-5,0,5,1909393.9872755224,909569.094971658,3.4323169449456193e-07,1.8403619361090833,13.551966953725534
