scenario,method,reject_rate,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median
power,GEXP-5,0.0,5.0,17770260.20966097,1525325.9614383955,4.0521098411681165e-07
power,NEW-MMMD,0.0625,4.0,27450.088677689426,26080.251379037636,1.1671063501486744e-06
type1_a,GEXP-5,0.0,5.0,23184702.942650504,1522530.4862330668,3.998487845325126e-07
type1_a,NEW-MMMD,0.0,4.0,35620.68381784546,33434.89071923333,1.1623857619394154e-06
type1_b,GEXP-5,0.0,5.0,18942904.895863734,1485657.1307590003,3.946161131622369e-07
type1_b,NEW-MMMD,0.0,4.0,33621.712912429764,31647.510275520595,1.130618343374565e-06
