experiment,scenario,setting,label,label_name,n,representation,preprocess,outer_repetitions,inner_repetitions,independent_tests,power,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,cond_sigma_reg_summary,cond_sigma_reg_stat,B_boot,alpha,source,reused_from
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,final_semantic,none,10,500,5000,0.2734,0.0063032125142660385,0.26104570347203854,0.2857542965279614,11.54103840208408,12.889728157695108,39552.3638414896,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,20,final_residual,none,10,500,5000,0.5074,0.007070293346106652,0.4935422250416309,0.521257774958369,32.68807088262599,13.361991952761826,38625.88182992544,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,final_semantic,channel_standardized,10,500,5000,0.3472,0.006732787832688626,0.3340037358479303,0.3603962641520697,17.828636576763458,14.225587372773923,27570.04084319458,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,final_residual,channel_standardized,10,500,5000,0.403,0.006936728335461898,0.38940401246249473,0.4165959875375053,30.437432048235916,15.10480546436609,25063.61548752401,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,final_full,none,10,500,5000,0.721,0.006342854247103586,0.7085680056756769,0.733431994324323,38.842616183493206,13.161537365162193,36846.52409949718,median,500,0.05,reused_final_fc128_gaussian5,/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/experiments/03_center_shift_power/Results/pathmnist_center_shift_summary.csv
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,logits,none,10,500,5000,0.4498,0.007035338797812086,0.4360107359562883,0.46358926404371165,15.587662503386092,12.445409373299015,38647.64351507607,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,final_semantic,none,10,500,5000,0.4662,0.0070548927702694395,0.4523724101702719,0.4800275898297281,16.559979950888117,12.735565664727709,36531.076328249874,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,30,final_residual,none,10,500,5000,0.72,0.0063498031465550175,0.7075543858327521,0.7324456141672478,40.446963307188966,13.249045438099254,35796.09425224557,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,final_semantic,channel_standardized,10,500,5000,0.5636,0.007013630158484265,0.5498532848893708,0.5773467151106292,30.02707308426073,14.169295073181376,25096.077038694977,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,final_residual,channel_standardized,10,500,5000,0.5992,0.0069305030120475385,0.5856162140963868,0.6127837859036132,44.481575444995364,15.081592929496646,23309.747760507926,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,final_full,none,10,500,5000,0.9574,0.002856054621326419,0.9518021329422003,0.9629978670577998,83.01954392412404,13.111448332125129,34049.83727234352,median,500,0.05,reused_final_fc128_gaussian5,/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/experiments/03_center_shift_power/Results/pathmnist_center_shift_summary.csv
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,logits,none,10,500,5000,0.82,0.005433231082882451,0.8093508670775503,0.8306491329224496,31.75468801696835,12.261022355469608,35742.21301698476,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,final_semantic,none,10,500,5000,0.84,0.005184592558726288,0.8298381985848965,0.8501618014151034,34.571420529931274,12.621449441506757,33479.83878258608,mean,500,0.05,computed,
center_shift,label8_source_vs_external,H1_source_vs_external,8,colorectal adenocarcinoma epithelium,50,final_residual,none,10,500,5000,0.958,0.002836758713743558,0.9524399529210625,0.9635600470789374,86.13310090917766,13.191923882491148,33316.199816229,mean,500,0.05,computed,
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,60,final_full,none,10,500,5000,0.366,0.006812400457988359,0.3526476951023428,0.3793523048976572,13.747147359224874,13.870198391995164,34287.593227424724,mean,500,0.05,reused_final_fc128_gaussian5,/home/dechao/kernel_two-sample/dechao_reproduction/medmnist_pathmnist28/experiments/03_sample_size_power_mix635_vs_mix835/Results/sample_size_power_summary.csv
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,60,logits,none,10,500,5000,0.441,0.007021666468866205,0.42723753372102224,0.45476246627897776,17.97086876725123,14.988202723862935,20126.55797375427,mean,500,0.05,computed,
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,60,final_semantic,none,10,500,5000,0.3088,0.006533644618434646,0.2959940565478681,0.32160594345213195,13.727084154345915,15.404631715639034,17201.76903550804,mean,500,0.05,computed,
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,60,final_residual,none,10,500,5000,0.3914,0.0069022610788059885,0.3778715682855403,0.40492843171445975,13.922514490744401,13.156388458836707,39430.58512880593,mean,500,0.05,computed,
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,90,final_full,none,10,500,5000,0.774,0.005914795009127535,0.7624070017821101,0.78559299821789,27.517494184994813,13.890949084275032,32879.365285002634,mean,500,0.05,reused_final_fc128_gaussian5,/home/dechao/kernel_two-sample/dechao_reproduction/medmnist_pathmnist28/experiments/03_sample_size_power_mix635_vs_mix835/Results/sample_size_power_summary.csv
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,90,logits,none,10,500,5000,0.8304,0.005307275007006892,0.8199977409862665,0.8408022590137335,36.375531408549364,15.050685019695194,18523.00154526794,mean,500,0.05,computed,
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,90,final_semantic,none,10,500,5000,0.7358,0.006235356605680223,0.7235787010528668,0.7480212989471332,28.012394384396053,15.46104635825615,16049.527707810443,mean,500,0.05,computed,
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,90,final_residual,none,10,500,5000,0.7662,0.005985608740971966,0.7544682068676949,0.7779317931323051,26.909715001040464,13.157676212582993,38430.92872508479,mean,500,0.05,computed,
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,120,final_full,none,10,500,5000,0.9628,0.0026764214914695335,0.9575542138767197,0.9680457861232803,46.06242990511915,13.962083514401456,32233.49577880282,mean,500,0.05,reused_final_fc128_gaussian5,/home/dechao/kernel_two-sample/dechao_reproduction/medmnist_pathmnist28/experiments/03_sample_size_power_mix635_vs_mix835/Results/sample_size_power_summary.csv
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,120,logits,none,10,500,5000,0.9798,0.001989570807988497,0.9759004412163426,0.9836995587836574,62.20205038231689,15.062319842766238,17848.342436082326,mean,500,0.05,computed,
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,120,final_semantic,none,10,500,5000,0.9582,0.0028302918577418814,0.952652627958826,0.9637473720411741,48.34980367543378,15.502672457783751,15565.319530201063,mean,500,0.05,computed,
class_mixture,mix635_vs_mix835,H1_mix635_vs_mix835,,,120,final_residual,none,10,500,5000,0.9546,0.002944107334999864,0.9488295496234003,0.9603704503765997,44.037473527498705,13.198381683971306,37909.1130863221,mean,500,0.05,computed,
