"noise_levels","","","","","","","","","",""
0,0.038,0.036,0.04,0.04,0.054,0.024,0.028,0.032,0.03,0.034
0.2,0.018,0.042,0.022,0.044,0.038,0.03,0.052,0.024,0.038,0.044
0.4,0.02,0.034,0.042,0.026,0.024,0.034,0.016,0.032,0.036,0.032
0.6,0.046,0.01,0.022,0.022,0.014,0.018,0.016,0.03,0.02,0.024
0.8,0.024,0.018,0.02,0.03,0.022,0.022,0.02,0.014,0.012,0.028
1,0.012,0.026,0.02,0.016,0.014,0.024,0.014,0.016,0.024,0.02
