sample_size,outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
30,1,1,power,GEXP-5,0,5,8679590.191842686,1457549.8798413053,5.554168647345748e-07,3.636726775350933,14.784909590920476
30,1,2,power,GEXP-5,0,5,2081509.3422719992,916812.7991583793,5.724954417820583e-07,1.5897228645321633,13.007958054373745
30,1,3,power,GEXP-5,0,5,12438045.498852812,1657897.5853883526,4.771283854058176e-07,3.0217975291331243,11.992011139505879
30,1,4,power,GEXP-5,0,5,15784477.112375835,1599724.1755421069,5.955987895091604e-07,1.3541553926387024,12.2446300078449
30,1,5,power,GEXP-5,0,5,533593.8818630712,405677.59456035023,5.871075800089607e-07,1.556237906830134,16.599933979982367
30,1,6,power,GEXP-5,0,5,11754445.962509945,1485872.521235573,5.582517865566415e-07,2.84300529270557,14.857062649755674
30,1,7,power,GEXP-5,0,5,22613814.72113887,1512408.574817034,6.045237928045755e-07,0.6893746400959291,14.858811271828742
30,1,8,power,GEXP-5,0,5,3235935.9469720745,1007031.0130836916,6.86292490563561e-07,1.8085112192675687,11.832244103172043
30,1,9,power,GEXP-5,0,5,17143761.283872064,1563773.7489541953,5.492871508006565e-07,2.1458587067813486,8.684933631078009
30,1,10,power,GEXP-5,0,5,9936142.174791701,1530031.6099018452,6.552011764082001e-07,4.621621064337418,10.462870804223723
30,1,11,power,GEXP-5,0,5,14126294.766262516,1665505.6561267895,4.4207196022538605e-07,2.9610765558895693,9.068961043474424
30,1,12,power,GEXP-5,0,5,735548.350509916,508012.91311563033,5.550097081004447e-07,3.6571810153048894,12.81530126382471
30,1,13,power,GEXP-5,0,5,47847852.466465436,1822623.6198273252,5.398437449807524e-07,5.890669691032997,11.7205055399981
30,1,14,power,GEXP-5,0,5,3940938.9638333623,1202391.7752490763,5.944698666754803e-07,0.549600640538797,14.616636957447769
30,1,15,power,GEXP-5,0,5,23382774.699472647,1830850.4006841714,4.152616636656403e-07,3.1916214120712425,13.476165393210884
30,1,16,power,GEXP-5,0,5,33650599.0468472,1841923.5127121534,5.094721256547249e-07,0.4022635087638129,13.64355567587514
30,1,17,power,GEXP-5,0,5,6654403.998141674,1418959.479079446,4.910824257061033e-07,1.6403393746459471,15.181079834485132
30,1,18,power,GEXP-5,0,5,11593744.6909588,1528045.3263999333,5.11681916777818e-07,0.7388428047678914,9.545064743351682
30,1,19,power,GEXP-5,0,5,33184647.505528256,1651171.9131200514,5.941578212908372e-07,1.3968589578027721,13.816845582984099
30,1,20,power,GEXP-5,0,5,37852046.64042161,1790246.736824122,5.67312709650995e-07,3.18435063954551,9.883652969860053
30,2,1,power,GEXP-5,0,5,3185763.870591018,1229767.6998804794,4.33197508106262e-07,3.6751229120783933,12.701688713365233
30,2,2,power,GEXP-5,0,5,29888848.46955311,1659266.3993390894,5.507323387799093e-07,2.679092418644636,17.022528325953378
30,2,3,power,GEXP-5,0,5,3939648.0597343035,1181080.9408588002,5.839904874167986e-07,1.424774343872059,12.463468443385006
30,2,4,power,GEXP-5,0,5,51705540.23315576,1745907.046418133,5.01239455090324e-07,2.3950389413392053,8.347744250285011
30,2,5,power,GEXP-5,0,5,219682336.12137973,1916164.4194145438,5.841681975698268e-07,0.3952812699018402,14.595755809214275
30,2,6,power,GEXP-5,0,5,26043031.241399605,1790525.0215905737,4.6427544633095755e-07,4.0871412195720325,9.414655567515469
30,2,7,power,GEXP-5,0,5,16369573.184942286,1440620.9328625007,6.424010124051406e-07,0.6849358512139929,13.413921323601254
30,2,8,power,GEXP-5,0,5,11023702.986883692,1374614.3440790984,6.498962690532888e-07,1.5769855486914324,13.37221608443383
30,2,9,power,GEXP-5,0,5,12216617.957797261,1461847.5053095347,6.125412841980806e-07,0.24342126026589278,10.578549040050166
30,2,10,power,GEXP-5,0,5,21289953.8911819,1731401.7710878893,6.026929390156217e-07,1.3065552422429847,11.886559936628391
30,2,11,power,GEXP-5,0,5,72492830.38910203,1747259.9026189323,6.028704702715442e-07,1.758862491742022,12.65033160413435
30,2,12,power,GEXP-5,0,5,6338684.29816235,1204652.7609961953,6.590369641839179e-07,1.2333493130378521,11.02928930672115
30,2,13,power,GEXP-5,0,5,26553405.359939516,2122458.391202747,3.8280451438746694e-07,3.1738531401309444,9.861426998159441
30,2,14,power,GEXP-5,0,5,70898764.50301017,1902063.6460616956,4.988725326522086e-07,0.5977009175830865,7.765299779818215
30,2,15,power,GEXP-5,0,5,28264889.610353913,1857972.4311723453,4.579174494007473e-07,0.5785930905139498,11.3536495928417
30,2,16,power,GEXP-5,0,5,16528127.046477903,1757424.8706615244,4.829363031034593e-07,3.3000651014957043,13.181580498127154
30,2,17,power,GEXP-5,0,5,42301727.09766449,1791428.815889244,4.884014886212565e-07,0.38088635172100105,10.936586775410603
30,2,18,power,GEXP-5,0,5,23085562.304674324,1477381.7669468345,6.282201044347867e-07,8.490926182028375,11.065888943931819
30,2,19,power,GEXP-5,0,5,33921254.45334641,1496976.14478389,6.90192808639649e-07,8.790204943357931,14.39083360069244
30,2,20,power,GEXP-5,0,5,13235721.191511238,1468301.8758233595,5.942988159074451e-07,2.3440939104529264,13.089997026181521
30,3,1,power,GEXP-5,1,5,39115410.867005795,1810892.3088895513,4.718594379128172e-07,8.530353992207154,8.479327958070462
30,3,2,power,GEXP-5,0,5,22771335.80471815,1840147.9228932606,4.4426544314182697e-07,2.807293198083144,10.737693148845485
30,3,3,power,GEXP-5,1,5,18493887.300602034,1896713.1962540403,4.4749648865055875e-07,17.99424672742225,14.917541773212543
30,3,4,power,GEXP-5,0,5,4808537.101747624,1309430.0925807473,5.599359774967018e-07,2.3592249333280857,19.509498550128896
30,3,5,power,GEXP-5,0,5,3841194.2566300714,1297125.3745640868,4.376195474525185e-07,2.716737771472154,10.251214429898836
30,3,6,power,GEXP-5,1,5,28262040.92029381,1779650.0795902072,4.658719434628761e-07,48.38926785523063,12.003655942143482
30,3,7,power,GEXP-5,0,5,5201843.769261921,1401643.3497302427,5.066625725467188e-07,0.6394140328411346,10.169716536839855
30,3,8,power,GEXP-5,0,5,18294699.413447767,1601755.3407479336,5.654969919114765e-07,4.3405727336783,11.328036458647645
30,3,9,power,GEXP-5,0,5,96417552.95997386,1950978.790393723,4.2786739997837575e-07,7.221812509453722,12.490446813660876
30,3,10,power,GEXP-5,0,5,39766433.272817224,1780396.9470788422,5.003731943447768e-07,4.996052748057878,11.530979460975622
30,3,11,power,GEXP-5,0,5,25106514.54831575,1660809.9268476423,5.266480007860299e-07,11.708539304017648,12.707111653027539
30,3,12,power,GEXP-5,0,5,39158826.707680576,1825764.4474058193,5.241130128993456e-07,1.761192694500835,13.573397939149155
30,3,13,power,GEXP-5,0,5,1034104.3895983691,619730.1192327208,7.325091872651674e-07,3.353965970876189,13.147006918934563
30,3,14,power,GEXP-5,0,5,30736203.521506563,1647600.0053002941,6.576090710426628e-07,6.286407109708364,13.510425702888467
30,3,15,power,GEXP-5,1,5,88941611.18131857,2114088.267000374,4.334060513438927e-07,36.152865203507304,10.565703206872064
30,3,16,power,GEXP-5,1,5,186036279.36968842,2201890.014265625,3.909895936485858e-07,21.82226745571012,12.187040539491436
30,3,17,power,GEXP-5,0,5,76550934.42553325,2111548.790395388,4.3380397685771917e-07,9.958500213765397,12.618358152333553
30,3,18,power,GEXP-5,0,5,30752120.213750497,1789419.7289827515,5.561308301972458e-07,5.1400968379701055,11.653813840511413
30,3,19,power,GEXP-5,1,5,57942295.9963065,1866811.3673577225,4.674152721834931e-07,29.726332275753634,16.00754007618727
