sample_size,scenario,method,reject_rate,reject_se,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median,runtime_sec,n_outer,n_inner,b_boot
30,power,GEXP-5,0.1,0.033752637027780724,5.0,20657750.259361304,1658581.9923637211,5.409189253543197e-07,0.07261896133422852,4,20,100
30,power,NEW-MMMD,0.0125,0.012499999999999999,3.0,680.1004365098556,679.0753394812504,1.512226936243317e-06,0.07304120063781738,4,20,100
60,power,GEXP-5,0.1875,0.04391357305815796,5.0,9491035.930661391,1271526.4051216026,4.891405587562061e-07,0.2082669734954834,4,20,100
60,power,NEW-MMMD,0.15,0.04017367360141354,4.0,26461.762380926735,25111.069048276742,1.3883818287241817e-06,0.22128891944885254,4,20,100
90,power,GEXP-5,0.5625,0.0558131772925863,5.0,5071606.705169813,1082829.7206484638,4.70864591769763e-07,0.4352247714996338,4,20,100
90,power,NEW-MMMD,0.5375,0.056095956441742964,4.0,21472.060674651217,20541.891632058898,1.2684150233272655e-06,0.4610559940338135,4,20,100
120,power,GEXP-5,0.9,0.03375263702778072,5.0,4302789.110112231,1000066.9933143964,4.581061923267536e-07,0.7704856395721436,4,20,100
120,power,NEW-MMMD,0.9125,0.03179119972172858,4.0,19325.888057505657,18620.414026519917,1.0911978044250285e-06,0.7963929176330566,4,20,100
150,power,GEXP-5,0.9625,0.021374819563973056,5.0,3406654.708642182,913403.4862172191,4.524694213216755e-07,1.1740972995758057,4,20,100
150,power,NEW-MMMD,0.975,0.017565429223263186,4.0,16248.329753283415,15751.031634813153,9.757251183534326e-07,1.22918701171875,4,20,100
30,type1_a,GEXP-5,0.05,0.024520722313684195,5.0,32379589.301098675,1798575.168945381,5.063312433299682e-07,0.06895709037780762,4,20,100
30,type1_a,NEW-MMMD,0.0125,0.0125,3.0,853.2608931634584,851.6855801126592,1.4988172829776937e-06,0.07248401641845703,4,20,100
60,type1_a,GEXP-5,0.0,0.0,5.0,12279674.014316073,1401406.6633254145,4.539044219741521e-07,0.21089887619018555,4,20,100
60,type1_a,NEW-MMMD,0.0,0.0,4.0,31451.131622638874,29610.41291259673,1.3062873384254923e-06,0.2202620506286621,4,20,100
90,type1_a,GEXP-5,0.0375,0.021374819563973056,5.0,7555311.629176583,1225237.0163314533,4.2959346196438076e-07,0.43411993980407715,4,20,100
90,type1_a,NEW-MMMD,0.0,0.0,4.0,24303.534704075195,23144.035838397984,1.2221994177579819e-06,0.45929598808288574,4,20,100
120,type1_a,GEXP-5,0.025,0.017565429223263183,5.0,6379073.0433778735,1182627.7986072926,4.237203970565138e-07,0.7463302612304688,4,20,100
120,type1_a,NEW-MMMD,0.0,0.0,4.0,22718.811342538596,21717.11853409871,1.1590555565456192e-06,0.8119070529937744,4,20,100
150,type1_a,GEXP-5,0.0125,0.0125,5.0,5381625.472442932,1096093.8852144056,4.169109580957108e-07,1.1842079162597656,4,20,100
150,type1_a,NEW-MMMD,0.0,0.0,4.0,20972.849885627467,20135.66129298607,1.0432765644105157e-06,1.2308788299560547,4,20,100
30,type1_b,GEXP-5,0.025,0.017565429223263186,5.0,12420021.802973988,1539263.4017101899,5.115369295090148e-07,0.07215118408203125,4,20,100
30,type1_b,NEW-MMMD,0.0125,0.012499999999999999,4.0,26087.863772884648,25051.284033657634,1.4409025094526291e-06,0.07498478889465332,4,20,100
60,type1_b,GEXP-5,0.0,0.0,5.0,3018181.142849666,975457.3227385766,4.552417949076835e-07,0.20601296424865723,4,20,100
60,type1_b,NEW-MMMD,0.0,0.0,4.0,19824.73433878197,19046.134941668828,1.2754795283524828e-06,0.21846294403076172,4,20,100
90,type1_b,GEXP-5,0.025,0.017565429223263183,5.0,2471608.353513633,843501.6017345826,4.440460486853427e-07,0.4353458881378174,4,20,100
90,type1_b,NEW-MMMD,0.0125,0.012499999999999999,4.0,17208.076819943566,16606.45812886209,1.1743737486391475e-06,0.46310997009277344,4,20,100
120,type1_b,GEXP-5,0.0375,0.021374819563973056,5.0,2524622.286670516,865076.964147727,4.190322752575178e-07,0.7671210765838623,4,20,100
120,type1_b,NEW-MMMD,0.025,0.017565429223263183,4.0,15598.322079323527,15112.428013655495,1.0078991540659473e-06,0.8066329956054688,4,20,100
150,type1_b,GEXP-5,0.025,0.017565429223263183,5.0,2081499.3650061223,771448.8951479369,4.230609615127938e-07,1.1728389263153076,4,20,100
150,type1_b,NEW-MMMD,0.0,0.0,4.0,12161.109830328678,11867.738458840999,4.924655278453947e-07,1.2402868270874023,4,20,100
