"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0.6,"GAUSS5",0.85,"power"
2,0.6,"GAUSS5",1,"power"
3,0.6,"GAUSS5",0.85,"power"
4,0.6,"GAUSS5",0.85,"power"
