"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0.736,0.732,0.732,0.71,0.704,0.714,0.74,0.734,0.74,0.726
0.2,0.594,0.608,0.556,0.564,0.594,0.56,0.588,0.6,0.65,0.558
0.4,0.062,0.044,0.068,0.054,0.068,0.06,0.08,0.058,0.06,0.034
0.6,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
