"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0.862,0.894,0.892,0.86,0.86,0.874,0.894,0.866,0.872,0.874
0.2,0.874,0.858,0.85,0.878,0.89,0.854,0.866,0.864,0.85,0.862
0.4,0.802,0.826,0.82,0.824,0.794,0.824,0.806,0.848,0.856,0.838
0.6,0.658,0.682,0.64,0.654,0.616,0.658,0.69,0.662,0.666,0.644
0.8,0.368,0.38,0.364,0.406,0.41,0.35,0.36,0.34,0.36,0.38
1,0.178,0.178,0.176,0.188,0.192,0.174,0.19,0.186,0.166,0.224
