scenario,method,reject_rate,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median
power,GEXP-5,0.175,5.0,9875495.508103449,1269998.8764889883,3.8195233234392734e-07
power,NEW-MMMD,0.2125,4.0,25605.16005683547,24332.936485447248,1.0912092906440342e-06
type1_a,GEXP-5,0.0,5.0,14236870.266620088,1362214.696143621,3.585198560821811e-07
type1_a,NEW-MMMD,0.0,4.0,29117.05538769749,27495.62087746132,1.0465243752648383e-06
type1_b,GEXP-5,0.0125,5.0,11152437.60537817,1332785.3833040213,3.605397935604019e-07
type1_b,NEW-MMMD,0.0125,4.0,29382.649191267483,27723.87339841342,1.0415045993770914e-06
