"noise_sigma","method","scenario","type1_mean","type1_se","n_rep"
0,"GAUSS5","type1",0.022,0.00466666666666667,10
0.2,"GAUSS5","type1",0.035,0.00341565025531987,10
0.4,"GAUSS5","type1",0.033,0.003,10
0.6,"GAUSS5","type1",0.038,0.00592546294487706,10
0.8,"GAUSS5","type1",0.04,0.00614636297152859,10
1,"GAUSS5","type1",0.055,0.00897527467855751,10
