scenario,hypothesis,method,n,power,median_q,median_cond_Sigma,median_cond_Sigma_plus_lamI,median_lambda,runtime_sec
mix635_vs_mix835,H1,GEXP-5,60,0.268,5.0,591927.0157186023,428629.32100942545,2.6209340081400786e-07,21.227566957473755
mix635_vs_mix835,H1,NEW-MMMD,60,0.21,4.0,11451.969835494237,11371.201325615777,2.8173066672679604e-07,16.282263040542603
mix635_vs_mix835,H1,GEXP-5,120,0.41,5.0,260306.68881236122,212706.4667493733,2.1360156666247264e-07,61.31459355354309
mix635_vs_mix835,H1,NEW-MMMD,120,0.326,5.0,48488.47443109812,46542.43247290096,2.2132923359595984e-07,57.76716136932373
mix635_vs_mix635_null,H0,GEXP-5,60,0.102,5.0,1041784.1344122079,628305.968057095,2.4598648340546127e-07,13.280657052993774
mix635_vs_mix635_null,H0,NEW-MMMD,60,0.062,4.0,10794.996359399569,10663.786875877277,2.484009086299466e-07,16.846222162246704
mix635_vs_mix635_null,H0,GEXP-5,120,0.106,5.0,302921.44584586343,247430.4319421345,2.0233062299981807e-07,60.320239305496216
mix635_vs_mix635_null,H0,NEW-MMMD,120,0.04,5.0,43260.031907941375,41934.33758182597,2.1620741129412537e-07,54.61204957962036
