result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
type1,color_adjusted_center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,residual_top8_pca_color_adjusted,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,5.0954028567134575,13.476796289923627,27181.83273816275,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,semantic_centered_color_adjusted,10,20,200,0.065,,0.065,0.017432010784760317,0.03083325886186978,0.09916674113813023,6.578327645873697,12.713913606416204,34572.833862138505,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,residual_full_color_adjusted,10,20,200,0.085,,0.085,0.01971991379291502,0.04634896896588657,0.12365103103411344,5.881185200118413,13.534122157205394,24853.792563606192,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,residual_top8_pca_color_adjusted,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,5.823230880222715,13.70870548791008,23030.945229818823,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,semantic_centered_color_adjusted,10,20,200,0.07,,0.07,0.01804161855266872,0.03463842763676932,0.1053615723632307,4.66127635960675,12.615140046800951,31376.863237120306,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,20,residual_full_color_adjusted,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,8.759356002642827,13.91441316349854,29524.683049321757,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,20,residual_top8_pca_color_adjusted,10,20,200,0.09,,0.09,0.02023610634484806,0.0503372315640978,0.1296627684359022,8.342362407592915,14.1502605660126,27312.336715470534,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,20,semantic_centered_color_adjusted,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,6.3100079047857,13.30159388169206,35139.66707998548,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,30,residual_full_color_adjusted,10,20,200,0.08,,0.08,0.01918332609325088,0.04240068085722828,0.11759931914277172,4.7782967602387005,13.808601402359345,24540.558008116288,500,0.05
type1,color_adjusted_center_shift,label6_source_vs_external,H0_source,6,normal colon mucosa,30,residual_top8_pca_color_adjusted,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,4.845727461487548,14.166144828584939,22648.545501290864,500,0.05
