train_label,train_label_name,test_label,test_label_name,representation,axis_method,repeat,train_source_n,train_external_n,test_source_n,test_external_n,auc,accuracy,effect_size
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,logistic_regression,16,863,863,370,370,0.7946457268078889,0.7027027027027027,1.1598567323106328
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,mean_difference,16,863,863,370,370,0.776464572680789,0.7040540540540541,1.0881689727974613
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,logistic_regression,17,863,863,370,370,0.7665595325054785,0.6945945945945946,1.0085367282770001
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,mean_difference,17,863,863,370,370,0.736654492330168,0.672972972972973,0.8987716465223806
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,logistic_regression,18,863,863,370,370,0.7824105186267348,0.6851351351351351,1.117884863467588
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,mean_difference,18,863,863,370,370,0.745945945945946,0.6837837837837838,0.9598785175761505
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,logistic_regression,19,863,863,370,370,0.7575237399561724,0.668918918918919,1.0117369970296846
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,mean_difference,19,863,863,370,370,0.7331409788166545,0.6864864864864865,0.8981443594357879
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,logistic_regression,20,863,863,370,370,0.7966691015339664,0.7013513513513514,1.1819688672470554
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,mean_difference,20,863,863,370,370,0.7650328707085464,0.6959459459459459,1.032196405545094
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,1,863,863,370,370,0.8747772096420745,0.8094594594594594,1.5719236438774107
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,1,863,863,370,370,0.7369612856099342,0.6837837837837838,0.922947357690069
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,2,863,863,370,370,0.8485390796201607,0.777027027027027,1.4509767708914627
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,2,863,863,370,370,0.7108984660336012,0.6594594594594595,0.8221845626860386
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,3,863,863,370,370,0.8592403214024835,0.7756756756756756,1.5225048263017171
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,3,863,863,370,370,0.7210299488677867,0.6797297297297298,0.8446564340400592
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,4,863,863,370,370,0.8731775018261505,0.8027027027027027,1.5906683719397199
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,4,863,863,370,370,0.746654492330168,0.7175675675675676,0.9588308404591409
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,5,863,863,370,370,0.8758071585098612,0.7986486486486486,1.610755243584127
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,5,863,863,370,370,0.759590942293645,0.6918918918918919,1.0272228311847897
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,6,863,863,370,370,0.8442147552958363,0.7621621621621621,1.4438982368510989
