result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,residual_pca_k4,10,20,200,0.085,,0.085,0.01971991379291502,0.04634896896588657,0.12365103103411344,6.87845692030357,13.468942844267435,36528.98972212234,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,residual_pca_k8,10,20,200,0.07,,0.07,0.01804161855266872,0.03463842763676932,0.1053615723632307,6.525482560157452,13.631317934783537,37739.942803825,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k1,10,20,200,0.08,,0.08,0.01918332609325088,0.04240068085722828,0.11759931914277172,5.466019555458442,15.91700415463447,20645.548572929143,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k16,10,20,200,0.08,,0.08,0.01918332609325088,0.04240068085722828,0.11759931914277172,5.588987172366571,13.216661929207248,35392.461136018166,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k2,10,20,200,0.09,,0.09,0.02023610634484806,0.0503372315640978,0.1296627684359022,5.803285568975693,14.182513347723956,28547.30731874589,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k32,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,5.580089222809761,13.427543639865002,35484.59925270553,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k4,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,5.714026955636319,13.6485488168635,33645.972081765205,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_pca_k8,10,20,200,0.085,,0.085,0.01971991379291502,0.04634896896588657,0.12365103103411344,5.60069025625085,13.414634670667288,34972.862479601325,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k1,10,20,200,0.06,,0.06,0.016792855623746664,0.027086002977456537,0.09291399702254347,5.048859071670899,15.794684558067747,19242.72390855182,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k16,10,20,200,0.065,,0.065,0.017432010784760317,0.03083325886186978,0.09916674113813023,4.811808845057345,13.260910303586593,32669.959401356802,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k2,10,20,200,0.055,,0.055,0.016120638945153507,0.02340354766749913,0.08659645233250088,5.111132088237096,14.012965652178009,26144.16920770905,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k32,10,20,200,0.06,,0.06,0.016792855623746664,0.027086002977456537,0.09291399702254347,4.802506500373134,13.035377510365834,32750.027574716063,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k4,10,20,200,0.065,,0.065,0.017432010784760317,0.03083325886186978,0.09916674113813023,4.968768325647731,13.463862393784273,30948.80722707409,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_pca_k8,10,20,200,0.06,,0.06,0.016792855623746664,0.027086002977456537,0.09291399702254347,4.850092240257158,13.428689419130132,32252.48770115138,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_pca_k1,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,5.814050630189487,15.92379420385044,22513.324756644088,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_pca_k16,10,20,200,0.1,,0.1,0.021213203435596427,0.05842212126623101,0.141577878733769,5.8084792561986776,13.827754170935481,34372.67134428642,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_pca_k2,10,20,200,0.105,,0.105,0.021676600286945368,0.06251386343758708,0.1474861365624129,5.833514147423654,14.528370614345958,28090.05965165674,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_pca_k32,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,5.807075808683685,13.592967238923956,34492.983674321935,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_pca_k4,10,20,200,0.1,,0.1,0.021213203435596427,0.05842212126623101,0.141577878733769,5.831498002374856,13.718097405142931,32666.18794291581,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_pca_k8,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,5.797652189581193,13.608286407697097,34026.776353768146,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_pca_k1,10,20,200,0.09,,0.09,0.02023610634484806,0.0503372315640978,0.1296627684359022,6.956479202460589,16.034327699818846,20364.17918185714,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_pca_k16,10,20,200,0.105,,0.105,0.021676600286945368,0.06251386343758708,0.1474861365624129,6.809234769917659,13.43234695890822,31733.863627354018,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_pca_k2,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,7.21804842986268,14.26583020160555,25756.411089892154,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_pca_k32,10,20,200,0.1,,0.1,0.021213203435596427,0.05842212126623101,0.141577878733769,6.814606254861241,13.451828253287736,31842.844733402777,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_pca_k4,10,20,200,0.09,,0.09,0.02023610634484806,0.0503372315640978,0.1296627684359022,6.956758615005208,13.70673845385667,30034.016507827546,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_pca_k8,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,6.838043550731954,13.567355197118978,31405.040278773573,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_pca_k1,10,20,200,0.055,,0.055,0.016120638945153507,0.02340354766749913,0.08659645233250088,5.045763917720762,15.716426922887006,19086.166908916424,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_pca_k16,10,20,200,0.035,,0.035,0.012995191418367026,0.009529424820000632,0.060470575179999375,3.9259405714399684,13.445693128087441,28836.10478463332,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_pca_k2,10,20,200,0.035,,0.035,0.012995191418367026,0.009529424820000632,0.060470575179999375,4.569914973763404,14.26408449230475,23434.70451384148,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_pca_k32,10,20,200,0.04,,0.04,0.013856406460551017,0.012841443337320006,0.06715855666268,3.923137314250057,13.543824494306614,28926.318604141157,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_pca_k4,10,20,200,0.025,,0.025,0.011039701082909808,0.003362185877496777,0.04663781412250323,3.967608446571079,13.633343481376935,27150.063735416225,500,0.05
type1,residual_intrinsic_dimension,label8_source_vs_external,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_pca_k8,10,20,200,0.035,,0.035,0.012995191418367026,0.009529424820000632,0.060470575179999375,3.9381317292657387,13.524274025206328,28503.58609518474,500,0.05
