"rep","n","method","t_kern","t_cov","t_sel","t_boot","t_stat","t_total","q_mean"
1,600,"NEW_25",0.547331323623657,1.85164430618286,0.0293363332748413,2.97369772672653,1.51713563084602,6.91914532065392,4
1,700,"NEW_13",0.842885360717773,1.71697587370873,0.0108931696414948,4.74274309277534,2.83816752314568,10.151665019989,4.615
1,600,"NEW_13",0.471706552505493,0.962650908231735,0.00908807039260864,2.38162135601044,1.67871615767479,5.50378304481506,4.65
1,700,"NEW_25",0.764557754993439,2.8723895585537,0.00554943799972534,4.37392926692963,2.18421917557716,10.2006451940536,4
2,700,"NEW_13",0.697729523181915,1.27250677704811,0.00903330445289612,3.21758962869644,2.09262513518333,7.2894843685627,4.61
2,700,"NEW_25",0.736961541175842,2.78446997404099,0.00588908553123474,4.04131885647774,2.01527492880821,9.58391438603401,4
2,600,"NEW_25",0.483519078493118,1.9652774643898,0.00930975556373596,3.34334868311882,1.54123256325722,7.34268754482269,4
2,600,"NEW_13",0.523651230335236,1.15401700854301,0.0102011489868164,3.48134581923485,1.84656070709229,7.0157759141922,4.655
3,600,"NEW_25",0.514597519636154,1.98468148231506,0.00998262047767639,3.28764167428017,1.6101966714859,7.40709996819496,4
3,700,"NEW_25",0.752593677043915,2.80155060172081,0.00597827315330505,4.10422405719757,2.10825310587883,9.77259971499443,4
3,600,"NEW_13",0.537154009342194,1.14277847647667,0.0100982642173767,3.21766318917274,1.79406044602394,6.70175438523293,4.635
3,700,"NEW_13",0.411665049791336,0.760477086305618,0.00602527618408203,1.88190603256226,1.32586207270622,4.38593551754952,4.68
4,600,"NEW_13",0.50264234662056,1.15717433214188,0.0110275733470917,3.37721419930458,1.84275404453278,6.89081249594688,4.71
4,700,"NEW_25",0.654778609275818,2.43705599308014,0.00646751642227173,3.59977712035179,1.81645291686058,8.5145321559906,4
4,700,"NEW_13",0.716848582029343,1.42937209486961,0.00941377401351929,3.45116361260414,2.21920258760452,7.82600065112114,4.685
4,600,"NEW_25",0.481523224115372,1.92270997524261,0.0097631573677063,2.97485043764114,1.46696421265602,6.85581100702286,4
5,600,"NEW_25",0.494874007701874,1.99216108560562,0.00876177668571472,3.16937285542488,1.54105161070824,7.20622133612633,4
5,700,"NEW_13",1.008750872612,1.93767969727516,0.0131077682971954,5.09205296874046,3.27517481923103,11.3267661261559,4.64
5,600,"NEW_13",0.506680413484573,1.08287041187286,0.0101461160182953,3.15819029569626,1.72058742165565,6.47847465872765,4.68
5,700,"NEW_25",0.763840272426605,2.91286880493164,0.00594234108924866,4.35602297306061,2.22874583482742,10.2674202263355,4
