"noise_levels","","","","","","","","","",""
0,0.018,0.012,0.022,0.02,0.034,0.014,0.014,0.02,0.026,0.016
0.2,0.012,0.014,0.01,0.004,0.01,0,0.01,0.01,0.008,0.014
0.4,0,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
