"noise_sigma","method","scenario","type1_mean","type1_se","n_rep"
0,"GAUSS5","type1",0.053,0.00395811402901264,10
0.2,"GAUSS5","type1",0.062,0.0085374989832438,10
0.4,"GAUSS5","type1",0.042,0.00489897948556636,10
0.6,"GAUSS5","type1",0.042,0.00466666666666667,10
0.8,"GAUSS5","type1",0.059,0.00706320670013903,10
1,"GAUSS5","type1",0.044,0.00702376916856849,10
