outer_iter,inner_iter,scenario,method,reject,q,cond_raw,cond_reg,ridge_lambda,stat,cutoff
1,1,power,GEXP-5,1,5,2782678.2792142155,897541.9232746881,4.988019893846052e-07,28.483386802756286,12.118705057975346
1,1,power,NEW-MMMD,1,4,19102.97506904533,18373.39496024049,1.2688840134704361e-06,28.19319293302314,12.2548727433591
1,2,power,GEXP-5,0,5,2748917.7365341717,903633.3628727318,4.916794254946653e-07,5.38424270216052,15.109585378640547
1,2,power,NEW-MMMD,0,4,16668.636181019912,16089.757159122306,1.3356268744161274e-06,5.553457527043449,9.846948429632652
1,3,power,GEXP-5,1,5,6729965.209355915,1101569.544754319,5.173892295204459e-07,26.341911651146688,12.720622733927156
1,3,power,NEW-MMMD,1,4,23582.699199608905,22488.509144422263,1.2956752391983137e-06,25.09913405746049,14.900336605023154
1,4,power,GEXP-5,0,5,11596730.732651686,1299881.2641573602,4.0106408426687553e-07,4.351056540623659,13.179283725810789
1,4,power,NEW-MMMD,0,4,24447.38880330676,23280.626123083235,1.1461431816361221e-06,4.324227611338147,9.299568093654024
1,5,power,GEXP-5,1,5,1104507.2401229239,589955.5452142175,5.082889363013695e-07,36.919244426897905,10.032382491359822
1,5,power,NEW-MMMD,1,4,15900.5504933014,15389.470718553857,1.2356451723236005e-06,35.56550185294573,14.327730836711176
1,6,power,GEXP-5,1,5,11485369.262491174,1209549.7715457827,4.908047421820037e-07,33.49821233359751,10.004022116762547
1,6,power,NEW-MMMD,1,4,28279.78800419415,26722.340672191218,1.2627474128571807e-06,30.812681187537045,9.331601064270647
1,7,power,GEXP-5,1,5,17373470.330094587,1325050.5561974384,4.6663457964941696e-07,26.44564315056391,12.518398982626685
1,7,power,NEW-MMMD,1,4,32277.37495417166,30254.89841088853,1.2949874884114977e-06,15.827745476701125,15.411172221741067
1,8,power,GEXP-5,1,5,12164647.852042872,1175618.2403326333,5.543019060646306e-07,58.61393246378907,17.641282919327438
1,8,power,NEW-MMMD,1,4,26111.356620235056,24788.006612570425,1.352410035313014e-06,58.46377500156609,12.988455289450185
1,9,power,GEXP-5,1,5,3091246.3449124224,917042.9080451615,4.2021517712808426e-07,14.167933027737718,9.22798323950181
1,9,power,NEW-MMMD,1,4,15298.67384842347,14796.757846841463,1.1386049984205458e-06,14.011656834708866,9.053159057960393
1,10,power,GEXP-5,1,5,8853613.140007246,1129662.5999892347,4.779790896225129e-07,17.23144956287581,11.886379569030158
1,10,power,NEW-MMMD,1,4,21721.031429522944,20757.828058436247,1.2214688860311641e-06,17.501807828013767,13.8831790769771
1,11,power,GEXP-5,0,5,4472601.856856414,1077054.1859135698,4.252473050198092e-07,4.556579981786001,11.414508974969918
1,11,power,NEW-MMMD,0,4,20506.05661918525,19657.44133722311,1.19949614275802e-06,4.564294866341349,8.9472875844927
1,12,power,GEXP-5,1,5,12203465.946324171,1238986.698598566,4.6842875237346513e-07,11.623271028627244,11.587299379632288
1,12,power,NEW-MMMD,0,4,26004.745600248873,24615.591631280877,1.311956083114678e-06,10.228589420961761,12.449126994186484
1,13,power,GEXP-5,1,5,2211401.113697536,800772.1891008749,5.075229155078342e-07,17.820430241002946,12.77289077820555
1,13,power,NEW-MMMD,1,4,16771.518681169997,16197.929117811864,1.2364477540021954e-06,17.59489161309827,8.557914127011356
1,14,power,GEXP-5,1,5,6433417.5214859415,1142669.0899183888,4.483389325079367e-07,21.81936626027698,10.991258146650017
1,14,power,NEW-MMMD,1,4,23145.87848645543,22042.996482639042,1.2619462524419867e-06,22.685344032283837,10.250762460613256
1,15,power,GEXP-5,0,5,14733024.468621206,1277984.90859353,4.5792697612919477e-07,9.359761542350611,12.37712802473363
1,15,power,NEW-MMMD,0,4,25416.746273578516,24113.359539835663,1.2733814526952618e-06,8.950210101036717,16.033551002285737
1,16,power,GEXP-5,1,5,4557545.136292477,1058981.6720592577,4.979488344476545e-07,21.974363875902867,10.251276102993712
1,16,power,NEW-MMMD,1,4,22427.491864306365,21410.772982293107,1.3581687052834556e-06,21.57469990391538,11.478144908333142
1,17,power,GEXP-5,1,5,618948.9596161422,422709.5404218111,4.6957012971891835e-07,26.791181948364738,11.812945397282423
1,17,power,NEW-MMMD,1,5,127957.0992703209,116731.17072925375,4.6957013039220197e-07,28.36047614615468,15.587410104287146
1,18,power,GEXP-5,0,5,5710904.228921717,1118644.3716027346,4.3844135319974264e-07,8.8684952612889,13.00994892364279
1,18,power,NEW-MMMD,0,4,23141.818533128426,22038.791723769322,1.236690878453917e-06,6.213505535354855,15.03720820564025
1,19,power,GEXP-5,1,5,4617746.742827046,1060046.382473989,5.272398991857616e-07,27.745519428406737,14.8410943705351
1,19,power,NEW-MMMD,1,4,22519.011272202253,21498.40606776005,1.4272701595766555e-06,27.32968781679432,9.063047737077564
1,20,power,GEXP-5,1,5,3315236.027845637,968954.581596801,4.498807930748416e-07,12.63582382708794,7.888048453232639
1,20,power,NEW-MMMD,1,4,17080.98151415653,16476.70736887932,1.2449164388643652e-06,12.563846879062364,10.954038009307721
1,1,type1_a,GEXP-5,0,5,11469665.580089005,1324948.5670073656,4.1302618510747886e-07,5.095310198453205,14.151092417153466
1,1,type1_a,NEW-MMMD,0,4,29068.119862873365,27440.339297191327,1.199188301751201e-06,2.375953274586287,8.345432484885064
1,2,type1_a,GEXP-5,0,5,8546024.81553086,1273194.27762355,4.265920269391804e-07,1.3158346682973594,9.661207930280906
1,2,type1_a,NEW-MMMD,0,4,24854.444487825414,23667.809892521564,1.2270539519161155e-06,1.3165166347045183,11.600217093296678
1,3,type1_a,GEXP-5,0,5,6616993.35460951,1132747.3664103905,4.908197962965297e-07,5.011909541922307,8.94795148897094
1,3,type1_a,NEW-MMMD,0,4,21179.59758818557,20259.517960253153,1.3461146028200617e-06,2.1294502855938324,11.44855743245421
1,4,type1_a,GEXP-5,0,5,11367621.523352006,1258875.9071773146,4.935894757684701e-07,2.124912609976633,11.477967840950816
1,4,type1_a,NEW-MMMD,0,4,26040.70986210786,24679.814343253598,1.3880779844693446e-06,2.1197453180747736,9.648412365062075
1,5,type1_a,GEXP-5,0,5,5481289.231239799,1192251.2830641752,4.0955490131965997e-07,0.9301192094610471,8.309175859657437
1,5,type1_a,NEW-MMMD,0,4,20634.444812235826,19839.619167479796,1.1710588535062185e-06,0.9550133780766998,9.710943830670686
1,6,type1_a,GEXP-5,0,5,18140930.61028337,1411786.9746039424,4.3226532032047567e-07,1.5836261575696913,12.283919717771242
1,6,type1_a,NEW-MMMD,0,4,34892.695681959296,32604.127715738756,1.2674571233352636e-06,1.4795486601934194,9.854988490695275
1,7,type1_a,GEXP-5,0,5,10671126.993914023,1347307.038132006,3.8707776431012193e-07,2.1905165036865526,11.319390657111628
1,7,type1_a,NEW-MMMD,0,4,29766.580388775754,28119.459544176414,1.1274779084741715e-06,1.8542348516826053,12.49603203553696
1,8,type1_a,GEXP-5,0,5,17480179.36674689,1384187.2290240529,3.576407122178506e-07,1.5133781495324037,17.62231177287371
1,8,type1_a,NEW-MMMD,0,4,27979.13410845857,26494.99367343561,1.0317238984681207e-06,1.456127316497919,14.310390491908134
1,9,type1_a,GEXP-5,0,5,2310127.895827421,858599.1608104588,4.1201441833382747e-07,3.0403193867431355,10.563805564503486
1,9,type1_a,NEW-MMMD,0,4,15244.152622834592,14763.228724526029,1.1365400621401305e-06,2.6458076804396518,7.593516572014823
1,10,type1_a,GEXP-5,0,5,1962183.6785913662,856395.7574293338,4.5634074878763856e-07,0.9932574406154089,16.01384459786773
1,10,type1_a,NEW-MMMD,0,4,21763.989154210718,20853.280307667508,1.3242436416103802e-06,0.8864191755417385,8.73730547589192
1,11,type1_a,GEXP-5,0,5,6607656.9657870885,1201403.9643339876,4.0936354693661246e-07,8.304469863190945,9.32070267137682
