scenario,method,reject_rate,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median
power,GEXP-5,0.6125,5.0,4954044.375389783,1080500.2773981881,4.7240241388562116e-07
power,NEW-MMMD,0.6625,4.0,22830.41490266534,21768.598895764684,1.2563990566827144e-06
type1_a,GEXP-5,0.0125,5.0,8523189.983224902,1250600.8514219741,4.2724415529532216e-07
type1_a,NEW-MMMD,0.0,4.0,25035.402271264706,23845.606980689598,1.2332563511964454e-06
type1_b,GEXP-5,0.0,5.0,2573416.1192006087,896649.0182567566,4.373506188482382e-07
type1_b,NEW-MMMD,0.0,4.0,16952.194707151943,16359.257436274354,1.1831276018490783e-06
