"noise_sigma","method","scenario","type1_mean","type1_se","n_rep"
0,"GAUSS5","type1",0.011,0.00233333333333333,10
0.2,"GAUSS5","type1",0.017,0.00334995854037363,10
0.4,"GAUSS5","type1",0.017,0.00366666666666667,10
0.6,"GAUSS5","type1",0.027,0.00366666666666667,10
0.8,"GAUSS5","type1",0.025,0.00562731433871138,10
1,"GAUSS5","type1",0.021,0.00458257569495584,10
