"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0,"GAUSS5",0.45,"power"
2,0,"GAUSS5",0.45,"power"
3,0,"GAUSS5",0.35,"power"
4,0,"GAUSS5",0.65,"power"
