"noise_levels","","","","","","","","","",""
0,0.046,0.034,0.04,0.044,0.05,0.034,0.026,0.032,0.042,0.036
0.2,0.026,0.038,0.02,0.042,0.04,0.032,0.048,0.036,0.044,0.046
0.4,0.028,0.038,0.054,0.034,0.022,0.048,0.016,0.042,0.032,0.036
0.6,0.044,0.024,0.028,0.024,0.022,0.026,0.042,0.036,0.03,0.036
0.8,0.026,0.024,0.026,0.03,0.03,0.014,0.026,0.02,0.014,0.03
1,0.016,0.02,0.024,0.018,0.016,0.034,0.03,0.024,0.03,0.026
