"noise_levels","","","","","","","","","",""
0,0.034,0.032,0.04,0.038,0.054,0.026,0.026,0.02,0.034,0.032
0.2,0.016,0.026,0.01,0.026,0.028,0.024,0.034,0.018,0.034,0.042
0.4,0.004,0.006,0.01,0,0.002,0.006,0.002,0.008,0,0.004
0.6,0.002,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
