"noise_levels","","","","","","","","","",""
0,0.032,0.014,0.03,0.018,0.03,0.016,0.014,0.018,0.012,0.016
0.2,0,0.002,0,0.016,0.008,0.008,0.016,0.002,0.002,0.01
0.4,0,0,0,0,0,0,0.002,0,0,0
0.6,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
