"n","rep1","rep2","rep3","rep4","rep5","rep6","rep7","rep8","rep9","rep10"
50,0.13,0.18,0.2,0.22,0.19,0.22,0.14,0.24,0.12,0.15
100,0.15,0.2,0.26,0.1,0.22,0.21,0.28,0.22,0.16,0.22
200,0.42,0.3,0.34,0.35,0.44,0.35,0.25,0.32,0.4,0.31
300,0.53,0.46,0.53,0.52,0.43,0.54,0.52,0.44,0.47,0.41
400,0.62,0.64,0.58,0.67,0.61,0.67,0.53,0.65,0.62,0.68
500,0.73,0.74,0.68,0.72,0.74,0.69,0.65,0.66,0.72,0.71
