"scenario","outer_iter","noise_sigma","method","reject_rate"
"set128_vs_set128",5,0.2,"multilayer_single_gaussian",0.05
"set128_vs_set128",5,0.4,"multilayer_single_gaussian",0.026
"set128_vs_set128",5,0.6,"multilayer_single_gaussian",0.04
"set128_vs_set128",5,0.8,"multilayer_single_gaussian",0.052
"set128_vs_set128",5,1,"multilayer_single_gaussian",0.078
"set128_vs_set128",6,0,"multilayer_single_gaussian",0.066
"set128_vs_set128",6,0.2,"multilayer_single_gaussian",0.05
"set128_vs_set128",6,0.4,"multilayer_single_gaussian",0.046
"set128_vs_set128",6,0.6,"multilayer_single_gaussian",0.058
"set128_vs_set128",6,0.8,"multilayer_single_gaussian",0.064
"set128_vs_set128",6,1,"multilayer_single_gaussian",0.042
"set128_vs_set128",7,0,"multilayer_single_gaussian",0.048
"set128_vs_set128",7,0.2,"multilayer_single_gaussian",0.056
"set128_vs_set128",7,0.4,"multilayer_single_gaussian",0.052
"set128_vs_set128",7,0.6,"multilayer_single_gaussian",0.064
"set128_vs_set128",7,0.8,"multilayer_single_gaussian",0.032
"set128_vs_set128",7,1,"multilayer_single_gaussian",0.026
"set128_vs_set128",8,0,"multilayer_single_gaussian",0.068
"set128_vs_set128",8,0.2,"multilayer_single_gaussian",0.054
"set128_vs_set128",8,0.4,"multilayer_single_gaussian",0.056
"set128_vs_set128",8,0.6,"multilayer_single_gaussian",0.044
"set128_vs_set128",8,0.8,"multilayer_single_gaussian",0.026
"set128_vs_set128",8,1,"multilayer_single_gaussian",0.044
"set128_vs_set128",9,0,"multilayer_single_gaussian",0.056
"set128_vs_set128",9,0.2,"multilayer_single_gaussian",0.05
"set128_vs_set128",9,0.4,"multilayer_single_gaussian",0.054
"set128_vs_set128",9,0.6,"multilayer_single_gaussian",0.04
"set128_vs_set128",9,0.8,"multilayer_single_gaussian",0.064
"set128_vs_set128",9,1,"multilayer_single_gaussian",0.044
"set128_vs_set128",10,0,"multilayer_single_gaussian",0.04
"set128_vs_set128",10,0.2,"multilayer_single_gaussian",0.068
"set128_vs_set128",10,0.4,"multilayer_single_gaussian",0.052
"set128_vs_set128",10,0.6,"multilayer_single_gaussian",0.042
"set128_vs_set128",10,0.8,"multilayer_single_gaussian",0.056
"set128_vs_set128",10,1,"multilayer_single_gaussian",0.044
