sample_size,scenario,method,reject_rate,reject_se,q_median,cond_raw_median,cond_reg_median,ridge_lambda_median,runtime_sec,n_outer,n_inner,b_boot,representation
30,power,GEXP-5,0.1,0.0337526370277807,5.0,20657750.259361304,1658581.9923637211,5.409189253543197e-07,0.0726189613342285,4,20,100,DINOv2
30,power,NEW-MMMD,0.0125,0.0124999999999999,3.0,680.1004365098556,679.0753394812504,1.512226936243317e-06,0.0730412006378173,4,20,100,DINOv2
60,power,GEXP-5,0.1875,0.0439135730581579,5.0,9491035.930661391,1271526.4051216026,4.891405587562061e-07,0.2082669734954834,4,20,100,DINOv2
60,power,NEW-MMMD,0.15,0.0401736736014135,4.0,26461.762380926735,25111.069048276742,1.3883818287241817e-06,0.2212889194488525,4,20,100,DINOv2
90,power,GEXP-5,0.5625,0.0558131772925863,5.0,5071606.705169813,1082829.7206484638,4.70864591769763e-07,0.4352247714996338,4,20,100,DINOv2
90,power,NEW-MMMD,0.5375,0.0560959564417429,4.0,21472.060674651217,20541.891632058898,1.2684150233272655e-06,0.4610559940338135,4,20,100,DINOv2
120,power,GEXP-5,0.9,0.0337526370277807,5.0,4302789.110112231,1000066.9933143964,4.581061923267536e-07,0.7704856395721436,4,20,100,DINOv2
120,power,NEW-MMMD,0.9125,0.0317911997217285,4.0,19325.888057505657,18620.414026519917,1.0911978044250283e-06,0.7963929176330566,4,20,100,DINOv2
150,power,GEXP-5,0.9625,0.021374819563973,5.0,3406654.708642182,913403.4862172191,4.524694213216755e-07,1.1740972995758057,4,20,100,DINOv2
150,power,NEW-MMMD,0.975,0.0175654292232631,4.0,16248.329753283417,15751.031634813153,9.757251183534326e-07,1.22918701171875,4,20,100,DINOv2
30,type1_a,GEXP-5,0.05,0.0245207223136841,5.0,32379589.301098675,1798575.168945381,5.063312433299682e-07,0.0689570903778076,4,20,100,DINOv2
30,type1_a,NEW-MMMD,0.0125,0.0125,3.0,853.2608931634584,851.6855801126592,1.4988172829776937e-06,0.072484016418457,4,20,100,DINOv2
60,type1_a,GEXP-5,0.0,0.0,5.0,12279674.014316073,1401406.6633254143,4.539044219741521e-07,0.2108988761901855,4,20,100,DINOv2
60,type1_a,NEW-MMMD,0.0,0.0,4.0,31451.131622638874,29610.41291259673,1.3062873384254923e-06,0.2202620506286621,4,20,100,DINOv2
90,type1_a,GEXP-5,0.0375,0.021374819563973,5.0,7555311.629176583,1225237.016331453,4.295934619643808e-07,0.4341199398040771,4,20,100,DINOv2
90,type1_a,NEW-MMMD,0.0,0.0,4.0,24303.534704075195,23144.035838397984,1.222199417757982e-06,0.4592959880828857,4,20,100,DINOv2
120,type1_a,GEXP-5,0.025,0.0175654292232631,5.0,6379073.0433778735,1182627.7986072926,4.237203970565138e-07,0.7463302612304688,4,20,100,DINOv2
120,type1_a,NEW-MMMD,0.0,0.0,4.0,22718.811342538596,21717.11853409871,1.1590555565456192e-06,0.8119070529937744,4,20,100,DINOv2
150,type1_a,GEXP-5,0.0125,0.0125,5.0,5381625.472442932,1096093.8852144056,4.169109580957108e-07,1.1842079162597656,4,20,100,DINOv2
150,type1_a,NEW-MMMD,0.0,0.0,4.0,20972.849885627467,20135.66129298607,1.0432765644105155e-06,1.230878829956055,4,20,100,DINOv2
30,type1_b,GEXP-5,0.025,0.0175654292232631,5.0,12420021.802973988,1539263.40171019,5.115369295090148e-07,0.0721511840820312,4,20,100,DINOv2
