pool_tag,checkpoint_path,rank_W,rank_Wc,singular_values_W,singular_values_Wc,mean_norm_final_full,mean_norm_semantic_centered,mean_norm_residual_full,mean_semantic_centered_norm_fraction,mean_residual_full_norm_fraction
center_source_holdout,/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/shared_model/models/pathmnist_cnn_checkpoint.pt,9,8,8.509146754;7.584322131;6.425532698;5.745077926;5.070723376;4.441243553;3.555915464;2.921515909;2.12229971,8.295202323;7.427673996;6.397439645;5.281944772;5.060037843;4.167517029;3.51146454;2.763052055;1.515757328e-15,20.280895774010684,4.556329358514848,19.608739054153407,0.21543261631880933,0.9702629426716626
center_external,/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/shared_model/models/pathmnist_cnn_checkpoint.pt,9,8,8.509146754;7.584322131;6.425532698;5.745077926;5.070723376;4.441243553;3.555915464;2.921515909;2.12229971,8.295202323;7.427673996;6.397439645;5.281944772;5.060037843;4.167517029;3.51146454;2.763052055;1.515757328e-15,21.78033702079967,4.366753185550709,21.129212921576922,0.17746332486701877,0.9785400502867556
