"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0,"GAUSS5",0.064,"type1"
2,0,"GAUSS5",0.05,"type1"
3,0,"GAUSS5",0.06,"type1"
4,0,"GAUSS5",0.046,"type1"
5,0,"GAUSS5",0.048,"type1"
6,0,"GAUSS5",0.054,"type1"
7,0,"GAUSS5",0.068,"type1"
8,0,"GAUSS5",0.056,"type1"
9,0,"GAUSS5",0.046,"type1"
10,0,"GAUSS5",0.05,"type1"
