"noise_sigma","method","scenario","type1_mean","type1_se","n_rep"
0,"GAUSS5","type1",0.041,0.00566666666666667,10
0.2,"GAUSS5","type1",0.062,0.00573488351136175,10
0.4,"GAUSS5","type1",0.059,0.0102686145338329,10
0.6,"GAUSS5","type1",0.049,0.00504424865014052,10
0.8,"GAUSS5","type1",0.068,0.00592546294487706,10
1,"GAUSS5","type1",0.056,0.00791622805802528,10
