"noise_levels","","","","","","","","","",""
0,0.032,0.026,0.028,0.038,0.05,0.036,0.046,0.042,0.036,0.034
0.2,0.036,0.052,0.036,0.038,0.046,0.028,0.04,0.04,0.032,0.05
0.4,0.024,0.042,0.046,0.02,0.026,0.04,0.024,0.032,0.022,0.02
0.6,0.018,0.014,0.024,0.028,0.01,0.018,0.02,0.04,0.022,0.03
0.8,0.014,0.018,0.018,0.022,0.018,0.02,0.026,0.014,0.016,0.016
1,0.008,0.016,0.016,0.006,0.012,0.018,0.008,0.01,0.008,0.018
