"n","rep1","rep2","rep3","rep4","rep5","rep6","rep7","rep8","rep9","rep10"
50,0.17,0.25,0.18,0.14,0.3,0.15,0.21,0.17,0.24,0.15
100,0.27,0.26,0.2,0.27,0.28,0.2,0.2,0.23,0.27,0.25
200,0.39,0.26,0.37,0.39,0.4,0.4,0.37,0.36,0.34,0.32
300,0.44,0.49,0.51,0.47,0.51,0.59,0.5,0.51,0.48,0.53
400,0.63,0.68,0.59,0.61,0.67,0.76,0.65,0.64,0.69,0.65
500,0.73,0.74,0.72,0.81,0.69,0.72,0.7,0.71,0.74,0.69
