"noise_sigma","method","scenario","power_mean","power_se","n_rep"
0,"GAUSS5","power",0.98,0.00632455532033675,10
0.2,"GAUSS5","power",0.848,0.00813770374382247,10
0.4,"GAUSS5","power",0.993,0.00260341655863555,10
0.6,"GAUSS5","power",0.937,0.00803464719546262,10
0.8,"GAUSS5","power",0.637,0.0214502007242616,10
1,"GAUSS5","power",0.315,0.0160034718455437,10
