"noise_sigma","method","scenario","type1_mean","type1_se","n_rep"
0,"GAUSS5","type1",0.054,0.00541602560309064,10
0.2,"GAUSS5","type1",0.272,0.0162480768092719,10
0.4,"GAUSS5","type1",0.325,0.0192209376577847,10
0.6,"GAUSS5","type1",0.456,0.0174610678049451,10
0.8,"GAUSS5","type1",0.393,0.0185022521151706,10
1,"GAUSS5","type1",0.305,0.0144721955640616,10
