method_label,sample_size,scenario,noise_sigma,metric_mean,metric_se,n_rep
CNN Layer1 GAP + GAUSS5,30,power,0.0,0.0375,0.0125,4
CNN Layer1 GAP + GAUSS5,30,type1_a,0.0,0.0625,0.0314576434802948,4
CNN Layer1 GAP + GAUSS5,30,type1_b,0.0,0.05,0.0353553390593274,4
CNN Layer1 GAP + GAUSS5,60,power,0.0,0.0875,0.0125,4
CNN Layer1 GAP + GAUSS5,60,type1_a,0.0,0.075,0.0322748612183951,4
CNN Layer1 GAP + GAUSS5,60,type1_b,0.0,0.05,0.0288675134594813,4
CNN Layer1 GAP + GAUSS5,90,power,0.0,0.1875,0.0688446318410763,4
CNN Layer1 GAP + GAUSS5,90,type1_a,0.0,0.025,0.0144337567297406,4
CNN Layer1 GAP + GAUSS5,90,type1_b,0.0,0.0,0.0,4
CNN Layer1 GAP + GAUSS5,120,power,0.0,0.325,0.0520416499866533,4
CNN Layer1 GAP + GAUSS5,120,type1_a,0.0,0.0625,0.0314576434802948,4
CNN Layer1 GAP + GAUSS5,120,type1_b,0.0,0.075,0.0433012701892219,4
CNN Layer1 GAP + GAUSS5,150,power,0.0,0.4,0.0540061724867322,4
CNN Layer1 GAP + GAUSS5,150,type1_a,0.0,0.075,0.025,4
CNN Layer1 GAP + GAUSS5,150,type1_b,0.0,0.0625,0.0314576434802948,4
