"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0,"GAUSS5",0.688,"power"
2,0,"GAUSS5",0.732,"power"
3,0,"GAUSS5",0.712,"power"
4,0,"GAUSS5",0.698,"power"
5,0,"GAUSS5",0.712,"power"
6,0,"GAUSS5",0.73,"power"
7,0,"GAUSS5",0.72,"power"
8,0,"GAUSS5",0.698,"power"
9,0,"GAUSS5",0.742,"power"
10,0,"GAUSS5",0.74,"power"
