epoch,train_loss,train_acc,val_loss,val_acc,lr,device
1,1.6632154116004954,0.3873302036167671,1.2958486501525184,0.5353858456617353,0.001,cuda
2,1.1394226258819462,0.5765021250590294,1.0355949432360845,0.5883646541383447,0.001,cuda
3,0.9830373075442922,0.6359065529598045,0.9804869787019046,0.6455417832866853,0.001,cuda
4,0.9274863400834544,0.6577821606155727,0.9000393122684855,0.673530587764894,0.001,cuda
5,0.8706077288338177,0.6782410622517292,0.906688955153336,0.6675329868052778,0.001,cuda
6,0.8271819633286365,0.6980749465262924,0.8053616270548055,0.7109156337465014,0.001,cuda
7,0.784108043650812,0.7168949137476041,0.7894548526624354,0.7081167532986805,0.001,cuda
8,0.7512876177258636,0.728520236673241,0.7416980082585496,0.7296081567373051,0.001,cuda
9,0.7316217250670191,0.7358537737159365,0.6999003341416271,0.749000399840064,0.001,cuda
10,0.7068540718877391,0.7445206811300313,0.7121719800915922,0.745201919232307,0.001,cuda
11,0.6914694161228864,0.7503958443290092,0.7357167678921283,0.7285085965613755,0.001,cuda
12,0.6715668643867676,0.7575349315258757,0.7992701587892446,0.7139144342263095,0.001,cuda
13,0.659016058103499,0.7609516931025861,0.6850864378894057,0.7551979208316674,0.001,cuda
14,0.6445221639682215,0.766090724742354,0.6632280270608126,0.7545981607357057,0.001,cuda
15,0.6339180623098507,0.7696602683407873,0.6630645122160105,0.7579968012794882,0.001,cuda
16,0.6162275801801315,0.7759243312314231,0.6190065073042286,0.7758896441423431,0.001,cuda
17,0.6121634882590338,0.7775910441956722,0.6626410522922331,0.7538984406237506,0.001,cuda
18,0.6017973784417019,0.7814383732881469,0.5944544852900057,0.7837864854058376,0.001,cuda
19,0.5888156828795802,0.786827411872552,0.5955827828647137,0.7773890443822471,0.001,cuda
20,0.5852071180041026,0.7879663323981222,0.5501018696334637,0.8000799680127949,0.001,cuda
21,0.5602913852443184,0.7986888524681242,0.5575368112084962,0.8031787285085965,0.0005,cuda
22,0.5496455178982305,0.8022722853412595,0.544012357358311,0.8033786485405837,0.0005,cuda
23,0.5434696252582676,0.8036889913608711,0.537107041636642,0.8077768892443022,0.0005,cuda
24,0.5376459372433038,0.805702936192672,0.5727507887078208,0.7944822071171531,0.0005,cuda
25,0.5448673330171859,0.802730631406428,0.5226107409886006,0.8113754498200719,0.0005,cuda
26,0.5292384759100375,0.8092585905164033,0.5375603875581001,0.807576969212315,0.0005,cuda
27,0.5298788925833747,0.8079807772438123,0.5314671219420023,0.808876449420232,0.0005,cuda
28,0.5248864739847672,0.8102308397455484,0.5340733234761287,0.8028788484606157,0.0005,cuda
29,0.5180138595210383,0.8127447984666241,0.5093605275608835,0.8159736105557777,0.0005,cuda
30,0.5141662213434037,0.8138976082668963,0.5006482952513822,0.8205717712914834,0.0005,cuda
31,0.5114530288004843,0.814772632573127,0.5078705988112376,0.8135745701719312,0.0005,cuda
32,0.5120138432082906,0.8154948748576349,0.5307974609993592,0.8089764094362255,0.0005,cuda
33,0.5092434138577032,0.8144948470790855,0.5030436914046256,0.8164734106357457,0.0005,cuda
34,0.49844320822650884,0.8200227784105114,0.4929697406573183,0.8248700519792083,0.0005,cuda
35,0.4988601463543527,0.8202588960804467,0.48538079308491144,0.8282686925229908,0.0005,cuda
36,0.4935338111335249,0.8211061418372733,0.5055063536456946,0.8148740503798481,0.0005,cuda
37,0.49761006701171073,0.8201894497069363,0.49369417919201264,0.8218712514994002,0.0005,cuda
38,0.488287864887018,0.8249118031056418,0.501389439608373,0.8205717712914834,0.0005,cuda
39,0.4906436726076311,0.8226061835050974,0.4709909992402003,0.8319672131147541,0.0005,cuda
40,0.4868013446584483,0.8241478929970277,0.4931326856652721,0.8198720511795282,0.0005,cuda
41,0.48749904734859395,0.8247034639851107,0.46753751801424437,0.8327668932427029,0.0005,cuda
42,0.4712064083130705,0.8311480874468735,0.4896172229550639,0.827469012395042,0.0005,cuda
43,0.4698616806763855,0.8304536237117698,0.48365074698208144,0.8263694522191124,0.0005,cuda
44,0.4698357332391558,0.8298980527236868,0.5091917620199483,0.8187724910035986,0.0005,cuda
45,0.4663566746308792,0.8317731048084669,0.4777008398014848,0.8261695321871252,0.0005,cuda
46,0.47195635693477733,0.8285785716269897,0.4708130643373487,0.83046781287485,0.0005,cuda
47,0.4510882282458086,0.8384677352148671,0.44868201745457287,0.8407636945221911,0.00025,cuda
48,0.4486908370738076,0.8387871885330148,0.4528062840858873,0.8371651339464214,0.00025,cuda
49,0.4461433012105216,0.8400094447067974,0.4519538155785564,0.8374650139944022,0.00025,cuda
50,0.44370703033554665,0.8405927942442846,0.4407617500999936,0.8444622151139545,0.00025,cuda
51,0.44459470406237994,0.8401900052779244,0.4503583185484961,0.8406637345061975,0.00025,cuda
52,0.44162772297230013,0.8413567043528987,0.4386603806625124,0.8444622151139545,0.00025,cuda
53,0.4409673433177468,0.8413705936276008,0.46152726342467393,0.834266293482607,0.00025,cuda
54,0.4397461764946385,0.8410372510347509,0.43558118686896236,0.8472610955617753,0.00025,cuda
55,0.4379800622829275,0.8421206144615129,0.4334529885669939,0.8468612554978009,0.00025,cuda
56,0.4369165318542535,0.8427595210978083,0.4746396745600161,0.8228708516593363,0.00025,cuda
57,0.4343040060171131,0.8435234312064224,0.436053382342265,0.846061575369852,0.00025,cuda
58,0.43319432971682753,0.8443845662379511,0.4369924633872838,0.8453618552578969,0.00025,cuda
59,0.4342901892360904,0.8435234312064224,0.46395268663317146,0.8324670131947222,0.00025,cuda
60,0.43293443300243273,0.8443567876885469,0.4467120404805435,0.8407636945221911,0.00025,cuda
61,0.42782837545385943,0.8453151476429901,0.44976324603849294,0.8380647740903638,0.00025,cuda
62,0.43085328662669337,0.8442317842162282,0.44148871434874076,0.8393642542982807,0.00025,cuda
63,0.4271811519860526,0.8450512514236507,0.43004208485015344,0.8437624950019992,0.00025,cuda
64,0.4247856083519012,0.847509653045918,0.4384289850108102,0.8401639344262295,0.00025,cuda
65,0.427657728274798,0.846037389927498,0.43085647960368845,0.8474610155937625,0.00025,cuda
66,0.4231615533444341,0.8481485596822134,0.43095464459279686,0.8458616553378648,0.00025,cuda
67,0.44173869942720706,0.8396344342898414,0.45202847205844227,0.8371651339464214,0.0005,cuda
68,0.43513162166659225,0.843078974415956,0.48808758155625614,0.8237704918032787,0.0005,cuda
69,0.43405026145609105,0.8427595210978083,0.43540562335990135,0.8426629348260696,0.0005,cuda
70,0.4315159844919696,0.8433150920858913,0.47458564202006653,0.8275689724110356,0.0005,cuda
71,0.42921659266118517,0.8443845662379511,0.432615588219916,0.8444622151139545,0.0005,cuda
72,0.4298563787636086,0.8443428984138448,0.4459119178041941,0.837265093962415,0.0005,cuda
73,0.42166149554979426,0.8473290924747909,0.4146670201679365,0.849360255897641,0.0005,cuda
74,0.42029189820580887,0.849204144559571,0.40918652882508305,0.8526589364254298,0.0005,cuda
75,0.41661106632293543,0.8494541515042084,0.4418419495087917,0.840063974410236,0.0005,cuda
76,0.4220838031969738,0.8475513208700242,0.45968044677027603,0.8314674130347861,0.0005,cuda
77,0.4155883568635089,0.8500791688658018,0.40388076206961904,0.8557576969212315,0.0005,cuda
78,0.410816950570736,0.852884802355621,0.43391524976203555,0.8442622950819673,0.0005,cuda
79,0.4153218998233856,0.8496486013500375,0.40153113787458306,0.8560575769692124,0.0005,cuda
80,0.412476430977678,0.8517181032806467,0.4051132601578204,0.8544582167133147,0.0005,cuda
81,0.40959380184144734,0.8518292174782632,0.39834119259762985,0.8599560175929628,0.0005,cuda
82,0.404237885958334,0.8534820411678102,0.4096894381595392,0.849360255897641,0.0005,cuda
83,0.40838780778557554,0.8524681241145587,0.4140237096379824,0.8472610955617753,0.0005,cuda
84,0.4043799719423641,0.8543292869246368,0.38826815990127117,0.861655337864854,0.0005,cuda
85,0.3989009016670947,0.8556904358454401,0.3868452009917354,0.8618552578968413,0.0005,cuda
86,0.40377078412748013,0.8532875913219812,0.3914397055330109,0.8578568572570971,0.0005,cuda
87,0.3970518241577961,0.8563293424817356,0.39815689925430586,0.8579568172730908,0.0005,cuda
88,0.39475607432495596,0.8580099447206867,0.407406914250844,0.8548580567772891,0.0005,cuda
89,0.39150461767868167,0.8591071974221506,0.4007727664704325,0.8551579368252699,0.0005,cuda
90,0.39673835390319245,0.8571626989638601,0.4031261195961545,0.8536585365853658,0.0005,cuda
91,0.37437770021051503,0.866024056223784,0.3742951815221749,0.866453418632547,0.00025,cuda
92,0.37454608576427373,0.8651212533681492,0.37838112855138706,0.8636545381847262,0.00025,cuda
93,0.37361863782271476,0.8670518625517375,0.3712942979720439,0.8678528588564575,0.00025,cuda
94,0.3722548267562117,0.8663990666407401,0.3751166851663056,0.8653538584566174,0.00025,cuda
95,0.37158026443067144,0.8663990666407401,0.37085870323611086,0.8677528988404638,0.00025,cuda
96,0.3691520820164297,0.8667185199588877,0.389266409882542,0.858656537385046,0.00025,cuda
97,0.36995810821916086,0.8673852051445874,0.3815683987690229,0.8652538984406237,0.00025,cuda
98,0.3697230642383445,0.8672185338481625,0.37261735525478223,0.8663534586165533,0.00025,cuda
99,0.36006621166502006,0.871746437401039,0.360981323489281,0.8717512994802079,0.000125,cuda
100,0.3596570045273351,0.8718853301480597,0.36023956149971426,0.8716513394642144,0.000125,cuda
101,0.3589562478512604,0.8717881052251452,0.36658027875380533,0.868452618952419,0.000125,cuda
102,0.3579930468841958,0.8724686796855469,0.3641776694912093,0.8695521791283487,0.000125,cuda
103,0.3612253154112917,0.8704825134031501,0.3597912963141636,0.8703518592562974,0.000125,cuda
104,0.35870141864928967,0.870829745270702,0.35984807730507534,0.8720511795281887,0.000125,cuda
105,0.3572169571908806,0.8720103336203784,0.35978750647997104,0.8691523390643743,0.000125,cuda
106,0.35619209557808934,0.8723714547626323,0.37574815463538364,0.8668532586965214,0.000125,cuda
107,0.3559106096437817,0.8730242506736299,0.3614957613832519,0.8708516593362655,0.000125,cuda
108,0.3567086662647509,0.8730242506736299,0.3649911233088056,0.8656537385045981,0.000125,cuda
109,0.3553649758182601,0.8729270257507153,0.35874593618963774,0.8711515393842463,0.000125,cuda
110,0.3498863895858883,0.8749826384066224,0.3544854897170103,0.8734506197520991,6.25e-05,cuda
111,0.3490691108800838,0.8763298980527237,0.3556500734662304,0.8740503798480608,6.25e-05,cuda
112,0.35016271158050716,0.8748576349343037,0.35597963378232556,0.8748500599760096,6.25e-05,cuda
113,0.34861520576908867,0.8759271090863635,0.35345932860366824,0.8739504198320672,6.25e-05,cuda
114,0.3491759211476496,0.87489930275841,0.35483281048642595,0.8729508196721312,6.25e-05,cuda
115,0.34814391551526,0.8762465624045113,0.35770712760699747,0.8724510195921631,6.25e-05,cuda
116,0.3482110878955742,0.8761632267562988,0.35188117711508765,0.874750099960016,6.25e-05,cuda
117,0.3471537507498621,0.8755937664935137,0.3528200896953593,0.8739504198320672,6.25e-05,cuda
118,0.3446193155765454,0.8783299536098225,0.3523289286365799,0.874250299880048,3.125e-05,cuda
119,0.34525069563007144,0.8768438012167005,0.3523867404708763,0.8735505797680928,3.125e-05,cuda
120,0.3448945891153793,0.8773438151059751,0.3506562589216785,0.8748500599760096,3.125e-05,cuda
121,0.34447901849597823,0.8774688185782938,0.3489125971375156,0.8756497401039585,3.125e-05,cuda
122,0.3449577923696794,0.8775799327759104,0.3520857592264875,0.8726509396241503,3.125e-05,cuda
123,0.3441270485509187,0.877857718269952,0.3511955712984105,0.87375049980008,3.125e-05,cuda
124,0.344117593267215,0.8777466040723353,0.3502053056524449,0.875249900039984,3.125e-05,cuda
125,0.34410458596624494,0.8777466040723353,0.35158747537690893,0.8764494202319072,3.125e-05,cuda
126,0.3440265392008058,0.8779688324675685,0.3508621298732971,0.8754498200719713,3.125e-05,cuda
127,0.34387538294341286,0.8772743687324648,0.35076993639494886,0.8759496201519392,3.125e-05,cuda
128,0.34344448170107855,0.8782188394122059,0.3503418570397044,0.875749700119952,3.125e-05,cuda
129,0.34332242237021154,0.8785105141809495,0.3495478424929181,0.8733506597361056,3.125e-05,cuda
130,0.3433872739581049,0.8780243895663769,0.34796407823560715,0.8760495801679328,3.125e-05,cuda
131,0.34197986128678,0.8783299536098225,0.35034217001771223,0.8760495801679328,1.5625e-05,cuda
132,0.34157998683754015,0.8781077252145892,0.34914972088852675,0.8763494602159136,1.5625e-05,cuda
133,0.3416272521676307,0.8787188533014806,0.348341274629684,0.87624950019992,1.5625e-05,cuda
134,0.34140113173347336,0.8781632823133976,0.3523633685744986,0.875749700119952,1.5625e-05,cuda
135,0.34131257238073537,0.878607739103864,0.34780846504581686,0.8760495801679328,1.5625e-05,cuda
136,0.340703853946427,0.8789549709714158,0.34736641375172955,0.8765493802479009,1e-05,cuda
137,0.34075925237284943,0.8785799605544599,0.3482966731246211,0.8756497401039585,1e-05,cuda
138,0.3406552796590798,0.878621628378566,0.3482775540351391,0.875749700119952,1e-05,cuda
139,0.34088995120979626,0.8787327425761827,0.3469555104365114,0.8766493402638944,1e-05,cuda
140,0.3405945760885402,0.878968860246118,0.3496656926905141,0.8765493802479009,1e-05,cuda
141,0.34052292761738034,0.8788021889496931,0.3481936232774842,0.8775489804078369,1e-05,cuda
